clade_name	clade_taxid	HAA.29	HAA.28	HAA.16	HAA.14	HAA.11	HAA.10	HAA.05	HAA.03	HAA.02	HAA.026	HAA.01	BB.138	BB.134	BB.127	BB.126	BB.123	BB.122	BB.121	BB.120	BB.118	BB.065	BB.060	BB.056	BB.055	BB.054	BB.053	BB.052	BB.050	BB.048	BB.047	BB.046	BB.044	BB.042	BB.041	BB.040	BB.036	BB.035	BB.033	BB.032	BB.031	BB.030	BB.028	BB.027	BB.026	BB.024	BB.020	BB.019	BB.013	BB.012	BB.008	BB.006	BB.004	BB.001
k__Archaea	2157	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	5152	0	0	0	0	0	0	9830	0	0	0	0	0	7008	0	884	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	5152	0	0	0	0	0	0	9830	0	0	0	0	0	7008	0	884	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	5152	0	0	0	0	0	0	9830	0	0	0	0	0	7008	0	884	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	5152	0	0	0	0	0	0	9830	0	0	0	0	0	7008	0	884	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	5152	0	0	0	0	0	0	9830	0	0	0	0	0	7008	0	884	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	5152	0	0	0	0	0	0	9830	0	0	0	0	0	7008	0	884	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	2209	0	0	0	0	0	0	0	0	5152	0	0	0	0	0	0	9830	0	0	0	0	0	7008	0	884	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714_group	2157|28890|183925|2158|2159|2172|2173|	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	0	0	0	-	0	-	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	30544949	24459916	36504920	51263924	13149918	21793914	12202570	19466118	9920412	3622425	22507850	5108644	22426165	26877288	8990080	5674946	30807463	869371	7806731	5843235	4765436	14391930	39814618	7553533	16935663	21591035	16678671	12106355	16078583	24108826	9926138	21284209	30262260	10679780	7622689	2443914	7089002	3047249	10372619	5990417	3507922	21292777	5053456	23910519	11746973	15854804	21338284	12991237	13951240	4488532	34870491	13188955	7854933
k__Bacteria|p__Actinobacteria	2|201174	931254	0	135521	5956185	744	427077	3109508	9272	25099	2105	1206862	8052	91725	2661	238522	58094	38138	1879	129135	66091	2189142	243945	154971	93489	190129	698435	41938	237913	161649	5714550	556803	0	4358967	0	2272	15617	8503	0	0	146805	54725	57735	0	784	5272469	782294	11154	4967110	466265	29741	104423	625120	16156
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	726589	0	113104	3053376	744	267542	2874668	0	6351	1967	1148527	8052	39170	1463	110181	31007	18576	1879	108812	25466	2170748	243945	144431	24095	180785	590345	25966	230823	81579	3738177	463467	0	4357509	0	2272	6045	0	0	0	24059	51217	1683	0	0	5141204	404736	7132	4841658	442313	12195	101481	503180	14417
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	945	0	0	11824	0	21847	0	0	0	428	221	0	0	0	1703	0	0	1879	0	0	156	0	0	0	1476	0	3699	0	50213	3305	10366	0	7642	0	0	0	0	0	0	0	0	0	0	0	868	1327	0	56808	22109	0	0	10376	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	945	0	0	11824	0	21847	0	0	0	428	221	0	0	0	1703	0	0	1879	0	0	156	0	0	0	1476	0	3699	0	50213	3305	10366	0	7642	0	0	0	0	0	0	0	0	0	0	0	868	1327	0	56808	22109	0	0	10376	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183|t__SGB15892	2|201174|1760|2037|2049|76833|712888|	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	945	0	0	11824	0	21847	0	0	0	0	221	0	0	0	1222	0	0	1879	0	0	156	0	0	0	0	0	389	0	49676	2757	9395	0	7642	0	0	0	0	0	0	0	0	0	0	0	868	1213	0	56417	22109	0	0	6329	0
