"Variable_1,""Variable_2"",""Method"",""Correlation_Coefficient"",""P_Value"""
"Prevotella_spp_qPCR_copies,""PNE"",""Spearman"",0.162108313716749,0.246164779753002"
"Prevotella_spp_qPCR_copies,""PNB"",""Spearman"",0.202506984434927,0.145881391442158"
"Prevotella_spp_qPCR_copies,""Serum_DCA"",""Spearman"",0.423094576766833,0.00524389267707322"
"Prevotella_spp_qPCR_copies,""Serum_UDCA"",""Spearman"",0.493592307902862,0.000894715847468234"
"Prevotella_spp_qPCR_copies,""Serum_Glyco_LCA"",""Spearman"",0.443008638265351,0.00330226868420782"
"Prevotella_spp_qPCR_copies,""Serum_Tauro_LCA"",""Spearman"",0.409390885918404,0.00709804145556356"
"Prevotella_spp_qPCR_copies,""Stool_Total"",""Spearman"",0.11860990162877,0.396515161792616"
"Prevotella_spp_qPCR_copies,""Age"",""Spearman"",-0.25935882623412,0.0607420406908311"
"Prevotella_spp_qPCR_copies,""Albumin"",""Spearman"",0.0910138741490999,0.521074467769136"
"Prevotella_spp_qPCR_copies,""Creatinin"",""Spearman"",0.10989190606175,0.433436253421918"
"Prevotella_spp_qPCR_copies,""Prothrombin"",""Spearman"",-0.0743311728087621,0.596827500142604"
"Prevotella_spp_qPCR_copies,""Bilirubin"",""Spearman"",0.247071868207107,0.0744911566736895"
"Prevotella_spp_qPCR_copies,""Delta_bilirubin"",""Spearman"",-0.389638142028962,0.00392787250159099"
"PNE,""PNB"",""Spearman"",0.310454313660137,0.0132740244168332"
"PNE,""Serum_DCA"",""Spearman"",0.128861248961264,0.377544489901751"
"PNE,""Serum_UDCA"",""Spearman"",0.126269828052456,0.387292008695733"
"PNE,""Serum_Glyco_LCA"",""Spearman"",-0.110019034685353,0.451725855136851"
"PNE,""Serum_Tauro_LCA"",""Spearman"",0.18664279227945,0.199110491192962"
"PNE,""Stool_Total"",""Spearman"",0.0173907066366116,0.900670651764395"
"PNE,""Age"",""Spearman"",-0.328192704603021,0.00864064997556601"
"PNE,""Albumin"",""Spearman"",0.0599769781909786,0.643317415506461"
"PNE,""Creatinin"",""Spearman"",0.0736167377256867,0.566378776169789"
"PNE,""Prothrombin"",""Spearman"",-0.124337664560953,0.331592419659521"
"PNE,""Bilirubin"",""Spearman"",0.00262132188412274,0.983732673898721"
"PNE,""Delta_bilirubin"",""Spearman"",-0.187893409813686,0.143624558689578"
"PNB,""Serum_DCA"",""Spearman"",0.0766461605148343,0.60066552319056"
"PNB,""Serum_UDCA"",""Spearman"",0.199014013247497,0.17040839744674"
"PNB,""Serum_Glyco_LCA"",""Spearman"",0.149562786598588,0.305034962416088"
"PNB,""Serum_Tauro_LCA"",""Spearman"",0.216429287853035,0.135264015599654"
"PNB,""Stool_Total"",""Spearman"",-0.067333128923601,0.628550937851889"
"PNB,""Age"",""Spearman"",-0.195473684140162,0.124708267334954"
"PNB,""Albumin"",""Spearman"",0.0172852669069505,0.893921028042221"
"PNB,""Creatinin"",""Spearman"",-0.0264377335119829,0.83704337081636"
"PNB,""Prothrombin"",""Spearman"",-0.175045531866716,0.170007637619603"
