feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Mediterraneibacter	Antibiotics	Yes	-7.25703544001592	1.2434428117176	53	42	4.17981060280201e-07	0.000132917977169104
g__Anaerostipes	Antibiotics	Yes	-7.2962290791901	1.54288549939183	53	41	1.94658662932315e-05	0.00253810587105918
g__Blautia	Antibiotics	Yes	-4.68365053419645	1.00345803572971	53	42	2.39443950099923e-05	0.00253810587105918
g__Haemophilus	Antibiotics	Yes	-5.47886033257334	1.23183962800744	53	29	4.9867873036636e-05	0.00396449590641256
g__Lacticaseibacillus	Antibiotics	Yes	4.29556934861481	1.03123420664447	53	11	0.000125586463051937	0.0079872990501032
g__Collinsella	Antibiotics	Yes	-4.98524816073757	1.24629999138688	53	31	0.00021345423802892	0.0113130746155328
g__Unknown	Antibiotics	Yes	-4.03636113077154	1.10206612396654	53	45	0.000612128950749311	0.0278081437626116
g__Enterococcus	Antibiotics	Yes	6.43103856300258	1.90771313707377	53	24	0.0014681055168886	0.0583571942963219
g__Sutterella	Antibiotics	Yes	-3.76712857789491	1.179986191451	53	34	0.00246421397615166	0.0870688938240253
g__Bifidobacterium	Antibiotics	Yes	-4.05914893351942	1.34959041208486	53	40	0.00414666602518379	0.0909768143418617
g__Lancefieldella	Response	PNR	3.11731298428092	1.05332054204465	53	17	0.00473608680570862	0.0909768143418617
g__Bacteroides	Antibiotics	Yes	-3.12707760698414	1.04589617932408	53	46	0.00435637124068317	0.0909768143418617
g__Phocaeicola	Antibiotics	Yes	-3.53498630084303	1.1534867043995	53	47	0.00353883174585113	0.0909768143418617
g__Clostridium	Antibiotics	Yes	-3.71248989432858	1.22806530613187	53	43	0.0039737749927606	0.0909768143418617
g__Coprococcus	Antibiotics	Yes	-4.14730213980397	1.36141588562075	53	26	0.0037244358312321	0.0909768143418617
g__Fusicatenibacter	Antibiotics	Yes	-3.22125933411514	1.06825278404865	53	25	0.00405843381236424	0.0909768143418617
g__Akkermansia	Age	Age	1.5342979943159	0.520130523996252	53	7	0.00486354038934481	0.0909768143418617
g__Lancefieldella	Age	Age	-1.50070565431382	0.524094392503288	53	17	0.0061517511022444	0.107835548737695
g__Faecalibacterium	Antibiotics	Yes	-4.52676701685192	1.59043437079487	53	38	0.00644300448432767	0.107835548737695
g__Colibacter	Response	PNR	-2.01898138742452	0.724373882343134	53	7	0.00754406508493782	0.119950634850511
