feature	g__Methanobrevibacter	g__Actinomyces	g__Trueperella	g__Bifidobacterium	g__Rothia	g__Isoptericola	g__Lancefieldella	g__Olsenella	g__Collinsella	g__Senegalimassilia	g__Adlercreutzia	g__Eggerthella	g__Slackia	g__Bacteroides	g__Phocaeicola	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Staphylococcus	g__Granulicatella	g__Enterococcus	g__Lacticaseibacillus	g__Lactobacillus	g__Ligilactobacillus	g__Limosilactobacillus	g__Lactococcus	g__Streptococcus	g__Candidatus_Avimicrobium	g__Butyricicoccus	g__Clostridium	g__Hungatella	g__Mogibacterium	g__Evtepia	g__Intestinimonas	g__Eubacterium	g__Anaerobutyricum	g__Anaerostipes	g__Anaerotignum	g__Blautia	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Enterocloster	g__Faecalicatena	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lacrimispora	g__Mediterraneibacter	g__Oribacterium	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Dysosmobacter	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Romboutsia	g__Agathobaculum	g__Anaerotruncus	g__Candidatus_Cibiobacter	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Massilimaliae	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Faecalibacillus	g__Holdemania	g__Solobacterium	g__Turicibacter	g__Acidaminococcus	g__Phascolarctobacterium	g__Megamonas	g__Selenomonas	g__Allisonella	g__Anaeroglobus	g__Colibacter	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	g__Leptotrichia	g__Parasutterella	g__Sutterella	g__Neisseria	g__Bilophila	g__Desulfovibrio	g__Campylobacter	g__Escherichia	g__Klebsiella	g__Aggregatibacter	g__Haemophilus	g__Akkermansia	g__Unknown
HAA.29	0	945	0	706130	2406	3675	0	538	204127	0	0	0	0	3891613	16383479	0	0	0	0	0	0	0	0	17118	458	0	0	0	0	78502	0	1163966	0	487756	0	0	760082	0	0	0	0	0	0	629660	0	1268556	0	66514	0	0	0	254263	0	45688	109975	626297	0	0	12181	0	0	0	0	0	0	0	0	0	380570	0	1613967	0	0	0	0	0	0	57193	0	0	0	0	0	0	0	0	0	0	1451	20541	44280	1083139	6609	0	0	0	0	0	0	8931	16400	0	0	139258	0	383967
HAA.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40687	0	0	0	0	0	0	5090	0	0	0	0	21167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9272	0	0	0	0	0	0	0	29684	0	0	756716	0	0	315219	0	0	14876287	8314050	0	0	0	0
HAA.16	0	0	0	0	0	0	0	0	0	0	667	21468	0	18307349	6584927	70018	0	0	2390306	0	0	0	869676	1251180	0	0	0	201857	0	0	0	0	0	0	0	0	4394	197851	0	0	0	7650	18401	36021	0	3722	0	19911	1020622	110135	313601	0	225967	0	0	1103142	0	70501	101823	0	29805	0	8815	0	0	0	39308	0	0	134788	0	0	0	654701	0	2733	0	227457	0	125	0	0	0	0	0	0	0	71159	1430	36366	0	0	0	0	3101	0	0	203709	0	0	77284	0	0	0	0	1222578
HAA.14	0	11824	0	3038587	1271	1694	1598	0	2900341	0	0	870	0	11571393	11945720	0	0	0	1865	0	0	4475	1422	38810	0	0	0	2689774	0	0	0	0	181091	135360	0	0	95175	110923	0	0	0	0	27569	6432	2308	246164	0	141253	0	164141	0	0	0	0	0	2902842	0	0	0	0	0	0	1491	0	0	0	0	0	719	0	0	0	0	0	0	0	0	1667846	0	0	0	0	0	0	0	0	0	0	0	0	110214	2022051	0	0	0	3909024	0	0	0	3469	7227293	0	0	0	388	20847
HAA.11	0	0	0	744	0	0	0	0	0	0	0	0	0	3231765	6118978	0	0	2383	2539	0	0	233704	17297	189195	0	0	0	10559	0	101402	0	10010	0	10467	0	0	32587	0	0	0	0	2188	1803	20754	3251	66608	10633	97779	0	1593	0	11518	976	2284932	13128	322333	0	33581	0	0	0	0	0	0	0	10730	0	0	8491	5943	8157	0	0	0	0	0	0	2724	0	0	0	0	0	0	5546	0	0	0	0	0	0	92276	13575	0	0	3792	618	0	0	2586	0	0	0	15657	0	139198
HAA.10	0	21847	0	237705	0	4580	13687	1092	111097	0	4638	29021	0	899202	811549	50609	0	0	27074	843	0	6810498	72579	136837	1035	0	556	0	0	3096	0	5976	9184	1215304	1899	0	285156	4165	3629	0	0	88263	94257	261996	233952	1154756	303300	142366	1837	9683	361064	256730	0	111277	271885	459949	247	1722918	16477	389942	465	2803	0	0	0	39206	64	6912	926095	21995	207075	773	0	14684	62246	0	4233	70308	166261	7207	0	0	0	0	0	1338	0	0	1389	3454	67507	2109409	45770	0	2465	84386	0	5558	0	26473	129109	0	24998	99784	0	766775
HAA.05	289	0	0	2874019	0	0	0	0	230809	0	0	2368	0	227638	740586	13654	0	0	0	0	0	2818172	8252	33618	0	0	0	0	0	0	0	0	0	14188	0	67273	1045876	1546	0	0	0	15724	239174	274988	70817	640589	35476	66244	0	6261	7999	50680	2421	4694	292385	16431	0	11144	0	0	0	0	2033	0	0	305	0	0	168602	14271	0	0	0	0	0	0	0	1164	21271	0	0	0	0	71878	0	0	0	0	0	5417	3852	27512	0	0	340	233441	0	22226	135	0	78400	0	0	887	0	187237
HAA.03	0	0	0	0	0	0	0	0	5750	3522	0	0	0	1369707	7441057	8257	17748	62521	35252	0	46889	7826301	9415	161326	0	0	0	0	0	0	3627	0	0	0	0	0	206799	3179	0	0	0	9137	4734	3676	0	120333	13053	41214	0	3783	8758	19270	0	79782	11951	115638	0	16141	0	0	0	0	1170	0	0	0	3255	0	519412	14325	0	0	0	0	0	0	3237	36040	40645	0	0	0	0	0	394739	0	0	0	0	0	0	39384	0	0	0	94568	0	7324	0	0	0	166639	0	836	0	63023
HAA.02	0	0	0	4571	1780	0	0	0	2126	0	0	14727	0	5873069	2235915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1337	0	573	5932	281475	0	0	0	0	0	0	0	0	0	7409	0	172631	0	940	0	38798	0	0	0	0	748	91766	0	12830	0	27709	0	0	0	0	0	0	0	0	197484	38770	4107	0	0	105266	0	0	0	2793	9641	0	0	0	0	0	0	0	0	10204	5039	3027	0	73458	14076	0	0	1224	0	0	0	0	602212	0	0	1557	0	13494
HAA.026	0	0	0	1539	0	0	0	138	0	0	0	0	0	0	4088	0	0	0	0	0	0	695805	0	0	0	0	0	0	23224	0	0	4272	9242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2404	0	0	0	0	0	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3005	0	0	0	9683	33069	1963	92054	1980010	0	30152	105415	0	0	0	0	210265	3327	232215	0	0	21173	257
