feature	g__Methanobrevibacter	g__Actinomyces	g__Trueperella	g__Bifidobacterium	g__Rothia	g__Isoptericola	g__Lancefieldella	g__Olsenella	g__Collinsella	g__Senegalimassilia	g__Adlercreutzia	g__Eggerthella	g__Slackia	g__Bacteroides	g__Phocaeicola	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Staphylococcus	g__Granulicatella	g__Enterococcus	g__Lacticaseibacillus	g__Lactobacillus	g__Ligilactobacillus	g__Limosilactobacillus	g__Lactococcus	g__Streptococcus	g__Candidatus_Avimicrobium	g__Butyricicoccus	g__Clostridium	g__Hungatella	g__Mogibacterium	g__Evtepia	g__Intestinimonas	g__Eubacterium	g__Anaerobutyricum	g__Anaerostipes	g__Anaerotignum	g__Blautia	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Enterocloster	g__Faecalicatena	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lacrimispora	g__Mediterraneibacter	g__Oribacterium	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Dysosmobacter	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Romboutsia	g__Agathobaculum	g__Anaerotruncus	g__Candidatus_Cibiobacter	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Massilimaliae	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Faecalibacillus	g__Holdemania	g__Solobacterium	g__Turicibacter	g__Acidaminococcus	g__Phascolarctobacterium	g__Megamonas	g__Selenomonas	g__Allisonella	g__Anaeroglobus	g__Colibacter	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	g__Leptotrichia	g__Parasutterella	g__Sutterella	g__Neisseria	g__Bilophila	g__Desulfovibrio	g__Campylobacter	g__Escherichia	g__Klebsiella	g__Aggregatibacter	g__Haemophilus	g__Akkermansia	g__Unknown
HAA.29	0	3.1013873046926e-05	0	0.0231744192324083	7.89623053448718e-05	0.000120609506293601	0	1.76565753431176e-05	0.00669922631052895	0	0	0	0	0.127718509555309	0.537687976479341	0	0	0	0	0	0	0	0	0.000561794157478602	1.5031062280944e-05	0	0	0	0	0.00257635033008442	0	0.0382000992115748	0	0.0160076218644195	0	0	0.0249450652415382	0	0	0	0	0	0	0.0206647569341031	0	0.0416326293512341	0	0.00218291719771771	0	0	0	0.00834463534659316	0	0.00149943050980736	0.00360925998765681	0.0205543869287519	0	0	0.000399767182629212	0	0	0	0	0	0	0	0	0	0.0124898938258927	0	0.0529686430052148	0	0	0	0	0	0	0.0018770121070612	0	0	0	0	0	0	0	0	0	0	4.76202431651741e-05	0.000674133297626356	0.0014532214799131	0.035547444908121	0.000216900197848819	0	0	0	0	0	0	0.000293105714478408	0.000538230177745593	0	0	0.00457029622515219	0	0.0126013796742953
HAA.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00166967797174117	0	0	0	0	0	0	0.000208879024655604	0	0	0	0	0.000868633067757401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000380496329392291	0	0	0	0	0	0	0	0.00121814635911139	0	0	0.0310534577644971	0	0	0.0129356851223801	0	0	0.610480219853996	0.341184804506469	0	0	0	0
HAA.16	0	0	0	0	0	0	0	0	0	0	1.87125391518501e-05	0.000602280045745004	0	0.513608673057097	0.184738687105809	0.00196433967966153	0	0	0.0670595121587739	0	0	0	0.0243985700141295	0.035101581313361	0	0	0	0.00566305399636432	0	0	0	0	0	0	0	0	0.000123272709195246	0.00555066654232788	0	0	0	0.000214619077228865	0.000516236031384098	0.00101056127854392	0	0.000104419896136711	0	0.000558598751203129	0.0286333270378404	0.00308981334256223	0.00879800748209796	0	0.00633945477440196	0	0	0.0309484075937784	0	0.00197789013904735	0.0028566220000882	0	0.000836172757752462	0	0.000247302897486595	0	0	0	0.00110277734479899	0	0	0.00378144786686592	0	0	0	0.018367493396185	0	7.66737173943123e-05	0	0.00638125639859425	0	3.50684766713832e-06	0	0	0	0	0	0	0	0.00199635018516717	4.01183373120624e-05	0.00102024017810522	0	0	0	0	8.69978769263675e-05	0	0	0.00571501145140065	0	0	0.00216818572085695	0	0	0	0	0.0342991584575571
HAA.14	0	0.000230999563085738	0	0.0593633516067325	2.48308901118043e-05	3.30948291498005e-05	3.12193252546524e-05	0	0.0566625087787258	0	0	1.69967540497795e-05	0	0.226064506706138	0.233377545732795	0	0	0	3.6435570463033e-05	0	0	8.74258326123714e-05	2.77809014468809e-05	0.000758211522611427	0	0	0	0.0525487668132086	0	0	0	0	0.00353788412371105	0.00264446049215879	0	0	0.00185938628354915	0.00216704706834907	0	0	0	0	0.000538601738388931	0.000125658760974921	4.50902394791851e-05	0.00480918271713783	0	0.00275958908022241	0	0.00320674046722397	0	0	0	0	0	0.0567113695624942	0	0	0	0	0	0	2.91289198715186e-05	0	0	0	0	0	1.40467427147028e-05	0	0	0	0	0	0	0	0	0.0325838715573661	0	0	0	0	0	0	0	0	0	0	0	0	0.00215319569062344	0.0395037971530007	0	0	0	0.0763686431065346	0	0	0	6.77721147111322e-05	0.141196001800796	0	0	0	7.58016157622349e-06	0.00040727739273075
HAA.11	0	0	0	5.66123877644194e-05	0	0	0	0	0	0	0	0	0	0.245911200730482	0.465604778572516	0	0	0.000181327043068026	0.000193197382437985	0	0	0.0177829858469031	0.00131616192360371	0.0143962106224319	0	0	0	0.000803454573124334	0	0.00771587277431137	0	0.000761680109572363	0	0.00079645411657282	0	0	0.00247960736569776	0	0	0	0	0.000166489118855578	0.000137193730025871	0.00157921168771876	0.000247374828793182	0.0050683305432963	0.000809085375133161	0.00744019175163598	0	0.00012121442702785	0	0.000876426723481966	7.42657129812814e-05	0.173864860751788	0.000998934713133465	0.0245269365393395	0	0.00255524273322173	0	0	0	0	0	0	0	0.000816466291279866	0	0	0.00064609648455334	0.000452214274844012	0.000620681783594582	0	0	0	0	0	0	0.000207274387460052	0	0	0	0	0	0	0.000422005782985847	0	0	0	0	0	0	0.00702145792116877	0.00103294780094354	0	0	0.000288540556992847	4.70248059656065e-05	0	0	0.00019677370263278	0	0	0	0.00119137117638107	0	0.0105918429462791
HAA.10	0	0.00101413489679169	0	0.011034235164639	0	0.00021260300395047	0.000635348758748927	5.06904978851339e-05	0.00515710828163436	0	0.000215295356402245	0.00134715104315428	0	0.0417408398162163	0.0376719989635371	0.0023492631936527	0	0	0.0012567715565404	3.91319502904468e-05	0	0.316142430829404	0.00336910773443694	0.00635195573178395	4.80445653032176e-05	0	2.58094476411488e-05	0	0	0.000143715917080929	0	0.000277405142272491	0.000426320084777537	0.0564142535181271	8.81513328606862e-05	0	0.0132369044092795	0.000193338757959325	0.00016845770771534	0	0	0.00409715697329265	0.00437539767322259	0.0121618202233641	0.0108600213930612	0.053603623237954	0.0140791465279864	0.00660861119222983	8.5273300929479e-05	0.000449483599836769	0.0167605438904744	0.0119173731886909	0	0.00516546385820884	0.0126208663163916	0.0213507727214006	1.14657078549708e-05	0.0799776293363179	0.000764860195653253	0.0181010568922389	2.15852394840543e-05	0.000130114895212482	0	0	0	0.00181993741765985	2.9708716709236e-06	0.000320854140459749	0.0429892093763124	0.0010210050375307	0.00961239455088288	3.58825594003741e-05	0	0.000681629368997534	0.00288945121919235	0	0.000196495309109681	0.00326368820998901	0.00771781398249108	0.000334548002067912	0	0	0	0	0	6.21097858702465e-05	0	0	6.44771992330138e-05	0.000160334230490158	0.00313366615451624	0.0979184912576763	0.00212463744340896	0	0.000114424979200417	0.00391718713785248	0	0.000258001636671771	0	0.00122887321475563	0.00599322297751992	0	0.00116040390671482	0.00463196029392876	0	0.0355935957105069
HAA.05	2.71303267674187e-05	0	0	0.269803026317543	0	0	0	0	0.0216675556777203	0	0	0.000222299701679057	0	0.0213698730957843	0.069523668440746	0.00128179059405652	0	0	0	0	0	0.264560301892007	0.000774669399601175	0.00315594230196223	0	0	0	0	0	0	0	0	0	0.00133192067881016	0	0.00631535803676319	0.0981832444228403	0.000145133166721209	0	0	0	0.00147611507989928	0.0224528331289641	0.0258149283637334	0.0066480565767761	0.0601362937495294	0.00333036495640466	0.00621875905322106	0	0.000587761162251934	0.000750918629109282	0.00475766422343523	0.000227275159529138	0.000440656587703334	0.0274480989338814	0.00154248581008809	0	0.00104616042040178	0	0	0	0	0.000190851053004022	0	0	2.86323517787637e-05	0	0	0.0158277763101742	0.00133971243355652	0	0	0	0	0	0	0	0.000109272319575347	0.00199684837601995	0	0	0	0	0.00674765961034092	0	0	0	0	0	0.000508529342903486	0.000361612521481305	0.0025827320070077	0	0	3.19180314910809e-05	0.0219146387920865	0	0.0020865004938846	1.26733360332233e-05	0	0.00735992255559042	0	0	8.32685115664375e-05	0	0.017577166065575
HAA.03	0	0	0	0	0	0	0	0	0.000302100248210818	0.000185042969425826	0	0	0	0.0719632738567121	0.390946985504495	0.000433815956430734	0.000932465253086191	0.00328480167276322	0.00185211094781352	0	0.00246350931101862	0.411187386899578	0.000494656319461713	0.00847593472049711	0	0	0	0	0	0	0.000190559582654024	0	0	0	0	0	0.0108650485616955	0.000167022032880381	0	0	0	0.00048005042920039	0.000248720447831306	0.000193134002160516	0	0.00632219637703519	0.000685793833025357	0.00216534950082794	0	0.000198755693735917	0.000460138082405277	0.00101242987530825	0	0.0041916803483053	0.000627895663716084	0.00607552495697436	0	0.000848034801107967	0	0	0	0	6.14708331142012e-05	0	0	0	0.000171015010074124	0	0.0272894772389004	0.000752623661846951	0	0	0	0	0	0	0.00017006930494929	0.0018935118166118	0.00213545471104847	0	0	0	0	0	0.020739260848433	0	0	0	0	0	0	0.0020692028131365	0	0	0	0.00496852456918272	0	0.000384796907460179	0	0	0	0.00875507534984391	0	4.39227491311728e-05	0	0.00331117633791137
HAA.02	0	0	0	0.000463746037208442	0.000180588043367103	0	0	0	0.000215691112471045	0	0	0.0014941124239704	0	0.59584608947752	0.226842424148964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000135643940439223	0	5.81331173310954e-05	0.000601824872614412	0.028556752531885	0	0	0	0	0	0	0	0	0	0.000751672367026328	0	0.0175140980418575	0	9.53667195309418e-05	0	0.00393621062166115	0	0	0	0	7.58875597969622e-05	0.00931002381327277	0	0.00130165426764041	0	0.00281118769306688	0	0	0	0	0	0	0	0	0.0200355332338814	0.00393336991086661	0.000416671401184658	0	0	0.0106796522320682	0	0	0	0.000283360901755235	0.000978117598933841	0	0	0	0	0	0	0	0	0.00103523617669546	0.000511226489060017	0.000307101127681022	0	0.00745260476947226	0.00142806589799738	0	0	0.00012417964330412	0	0	0	0	0.0610967903214548	0	0	0.000157963810967741	0	0.00136901969505375
HAA.026	0	0	0	0.000444273163043055	0	0	0	3.98373596490848e-05	0	0	0	0	0	0	0.00118010961047434	0	0	0	0	0	0	0.200862565439358	0	0	0	0	0	0	0.0067042234818141	0	0	0.00123322609000645	0.0026679483904119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000693978352147825	0	0	0	0	0	0	0	0	0	0	0.000226611067569069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000867472940184782	0	0	0	0.00279525473537745	0.00954624381330135	0.000566672007182272	0.0265738282980931	0.5715823947738	0	0.00870417440680584	0.0304308352710745	0	0	0	0	0.060698568308803	0.00096042677936598	0.0670350179051611	0	0	0.00611214794094256	7.41898654334406e-05
