feature	g__Methanobrevibacter	g__Actinomyces	g__Trueperella	g__Bifidobacterium	g__Rothia	g__Isoptericola	g__Lancefieldella	g__Olsenella	g__Collinsella	g__Senegalimassilia	g__Adlercreutzia	g__Eggerthella	g__Slackia	g__Bacteroides	g__Phocaeicola	g__Barnesiella	g__Coprobacter	g__Butyricimonas	g__Odoribacter	g__Porphyromonas	g__Paraprevotella	g__Prevotella	g__Alistipes	g__Parabacteroides	g__Gemella	g__Staphylococcus	g__Granulicatella	g__Enterococcus	g__Lacticaseibacillus	g__Lactobacillus	g__Ligilactobacillus	g__Limosilactobacillus	g__Lactococcus	g__Streptococcus	g__Candidatus_Avimicrobium	g__Butyricicoccus	g__Clostridium	g__Hungatella	g__Mogibacterium	g__Evtepia	g__Intestinimonas	g__Eubacterium	g__Anaerobutyricum	g__Anaerostipes	g__Anaerotignum	g__Blautia	g__Coprococcus	g__Dorea	g__Eisenbergiella	g__Enterocloster	g__Faecalicatena	g__Fusicatenibacter	g__Lachnoclostridium	g__Lachnospira	g__Lacrimispora	g__Mediterraneibacter	g__Oribacterium	g__Roseburia	g__Sellimonas	g__Tyzzerella	g__Dysosmobacter	g__Oscillibacter	g__Intestinibacter	g__Peptostreptococcus	g__Romboutsia	g__Agathobaculum	g__Anaerotruncus	g__Candidatus_Cibiobacter	g__Faecalibacterium	g__Flavonifractor	g__Gemmiger	g__Massilimaliae	g__Ruminococcus	g__Ruthenibacterium	g__Catenibacterium	g__Coprobacillus	g__Dielma	g__Erysipelatoclostridium	g__Faecalibacillus	g__Holdemania	g__Solobacterium	g__Turicibacter	g__Acidaminococcus	g__Phascolarctobacterium	g__Megamonas	g__Selenomonas	g__Allisonella	g__Anaeroglobus	g__Colibacter	g__Dialister	g__Megasphaera	g__Veillonella	g__Fusobacterium	g__Leptotrichia	g__Parasutterella	g__Sutterella	g__Neisseria	g__Bilophila	g__Desulfovibrio	g__Campylobacter	g__Escherichia	g__Klebsiella	g__Aggregatibacter	g__Haemophilus	g__Akkermansia	g__Unknown
HAA.29	-16.1697340503741	-14.976726771876	-18.0082873190091	-5.43132300544488	-13.6284763638084	-13.0173687563734	-20.1754551841877	-15.7894349284278	-7.22178979542229	-17.1740079529419	-16.9367356323395	-16.9433609184696	-19.1487916673331	-2.96896047267717	-0.895158883767884	-19.801910402897	-13.7581537375641	-13.7712413277709	-15.744292895633	-15.6412934601797	-11.6587328022395	-15.4991558759334	-18.7370151726997	-10.7976707586816	-16.0216935028875	-12.4877030834985	-16.5919247643495	-19.9426799327414	-17.2515016424809	-8.60045550133741	-13.3574702208886	-4.71027980460634	-14.8950198072885	-5.96509719667694	-18.435045662966	-13.1194408510654	-5.32510174718643	-18.1384051785848	-19.148194997379	-14.197947836165	-14.7988844677474	-13.5522844886558	-14.3645481512784	-5.59668379543205	-16.6196510768844	-4.58614151354024	-17.8081910809468	-8.839526877516	-15.8304368510493	-14.010150959923	-20.2562148324527	-6.90493527823254	-18.0997103467727	-9.3813696217281	-8.1140812152996	-5.60440984818373	-17.4123150495371	-15.3444319916353	-11.2885523351842	-14.9116544625878	-16.646397484309	-14.3565802948835	-16.0671882684922	-15.530119254238	-13.6935822093001	-16.0919943004246	-19.3606822811218	-18.3219625338111	-6.32309497684079	-13.7936804766594	-4.23871764082839	-21.4202284746235	-15.0009069019555	-13.8284643638854	-13.1154199612874	-17.2935870946005	-14.6293239116972	-9.05734632882424	-12.9497700794387	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-16.2902536740837	-12.2104496104088	-16.1645594526234	-19.2767634545969	-16.5681033211761	-14.3580654869177	-10.5346784931712	-9.42652968931553	-4.81411032475027	-12.1706810105624	-16.5102583480109	-15.9352687967371	-13.9752836867579	-15.7054077565237	-15.1931011602215	-17.267844135824	-11.7362912840253	-10.8594890965916	-13.5313814605163	-15.358470435464	-7.77349660762646	-18.2220406493637	-6.31027449253392
HAA.28	-16.1697340503741	-17.5886564146429	-18.0082873190091	-15.1651082921908	-16.2975044957707	-15.8830346514434	-20.1754551841877	-18.6715782102685	-16.9968320068853	-17.1740079529419	-16.9367356323395	-16.9433609184696	-19.1487916673331	-11.4693116562138	-13.1015035883605	-19.801910402897	-13.7581537375641	-13.7712413277709	-15.744292895633	-15.6412934601797	-11.6587328022395	-9.22621440553845	-18.7370151726997	-13.8556011023309	-17.5688527799566	-12.4877030834985	-16.5919247643495	-19.9426799327414	-12.2250447533229	-18.456907253507	-13.3574702208886	-15.0702802006937	-14.8950198072885	-10.1689655041448	-18.435045662966	-13.1194408510654	-15.8067854420157	-18.1384051785848	-19.148194997379	-14.197947836165	-14.7988844677474	-13.5522844886558	-14.3645481512784	-20.5284134112785	-16.6196510768844	-14.2253157507551	-17.8081910809468	-14.3561545828856	-15.8304368510493	-14.010150959923	-20.2562148324527	-15.4705393115443	-18.0997103467727	-13.4999843884655	-14.6857770695629	-17.5658881166971	-17.4123150495371	-15.3444319916353	-16.6319413156073	-14.9116544625878	-16.646397484309	-14.3565802948835	-16.0671882684922	-15.530119254238	-13.6935822093001	-16.0919943004246	-19.3606822811218	-18.3219625338111	-17.1194048503363	-13.7936804766594	-14.9342323805279	-21.4202284746235	-15.0009069019555	-13.8284643638854	-13.1154199612874	-17.2935870946005	-14.6293239116972	-17.8054780937914	-12.9497700794387	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-11.3598298432795	-12.2104496104088	-16.1645594526234	-19.2767634545969	-16.5681033211761	-18.5061012780097	-18.8603847462094	-19.2314788979007	-9.68109680258463	-16.6251594906377	-16.5102583480109	-5.00910227005842	-13.9752836867579	-15.7054077565237	-6.27249972319046	-17.267844135824	-20.4816290192877	-0.711983543623662	-1.55137470072629	-15.358470435464	-17.5358219925248	-18.2220406493637	-14.7505365757863
HAA.16	-16.1697340503741	-17.5886564146429	-18.0082873190091	-15.1651082921908	-16.2975044957707	-15.8830346514434	-20.1754551841877	-18.6715782102685	-16.9968320068853	-17.1740079529419	-15.7056351396296	-10.6972779180411	-19.1487916673331	-0.961258530139732	-2.43644207452712	-8.99173985817145	-13.7581537375641	-13.7712413277709	-3.89841420185146	-15.6412934601797	-11.6587328022395	-15.4991558759334	-5.3570595950185	-4.83232016489856	-17.5688527799566	-12.4877030834985	-16.5919247643495	-7.46420399889175	-17.2515016424809	-18.456907253507	-13.3574702208886	-15.0702802006937	-14.8950198072885	-15.8628387230739	-18.435045662966	-13.1194408510654	-12.9858589363909	-7.49312325922248	-19.148194997379	-14.197947836165	-14.7988844677474	-12.1859340583468	-10.9196815397739	-9.95062747796574	-16.6196510768844	-13.2253157507551	-17.8081910809468	-10.8059000312002	-5.12616087633159	-8.33826459795432	-6.828607456501	-15.4705393115443	-7.3014255181288	-13.4999843884655	-14.6857770695629	-5.01399101024347	-17.4123150495371	-8.98182199013902	-8.4514741390694	-14.9116544625878	-10.223911337956	-14.3565802948835	-11.9814332366067	-15.530119254238	-13.6935822093001	-16.0919943004246	-9.82464275028793	-18.3219625338111	-17.1194048503363	-8.04684555540003	-14.9342323805279	-21.4202284746235	-15.0009069019555	-5.76670143385552	-13.1154199612874	-13.670908346291	-14.6293239116972	-7.29194378205608	-12.9497700794387	-18.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-16.2902536740837	-12.2104496104088	-16.1645594526234	-19.2767634545969	-8.96841947476281	-14.6053786591485	-9.9368754628846	-19.2314788979007	-16.508875765311	-16.6251594906377	-16.5102583480109	-13.4886602802016	-13.9752836867579	-15.7054077565237	-7.45102789543277	-17.267844135824	-20.4816290192877	-8.8492959453672	-13.5313814605163	-15.358470435464	-17.5358219925248	-18.2220406493637	-4.8656830099948
HAA.14	-16.1697340503741	-12.0798222566295	-18.0082873190091	-4.07428364212346	-15.2975044957707	-14.8830346514434	-14.9672011178477	-18.6715782102685	-4.14146171014662	-17.1740079529419	-16.9367356323395	-15.8443812200395	-19.1487916673331	-2.14519359558267	-2.0992623351202	-19.801910402897	-13.7581537375641	-13.7712413277709	-14.744292895633	-15.6412934601797	-11.6587328022395	-13.4815808437366	-15.1355470611562	-10.3651119981028	-17.5688527799566	-12.4877030834985	-16.5919247643495	-4.25019928159762	-17.2515016424809	-18.456907253507	-13.3574702208886	-15.0702802006937	-8.14289748843844	-8.56281086276832	-18.435045662966	-13.1194408510654	-9.07095776643864	-8.85005379549616	-19.148194997379	-14.197947836165	-14.7988844677474	-13.5522844886558	-10.8584934932653	-12.9582011195967	-14.4368253021301	-7.69999254453686	-17.8081910809468	-8.50133082782578	-15.8304368510493	-8.28467668853777	-20.2562148324527	-15.4705393115443	-18.0997103467727	-13.4999843884655	-14.6857770695629	-4.14021819240105	-17.4123150495371	-15.3444319916353	-16.6319413156073	-14.9116544625878	-16.646397484309	-14.3565802948835	-15.0671882684922	-15.530119254238	-13.6935822093001	-16.0919943004246	-19.3606822811218	-18.3219625338111	-16.1194048503363	-13.7936804766594	-14.9342323805279	-21.4202284746235	-15.0009069019555	-13.8284643638854	-13.1154199612874	-17.2935870946005	-14.6293239116972	-4.93969815728112	-12.9497700794387	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-16.2902536740837	-12.2104496104088	-16.1645594526234	-19.2767634545969	-16.5681033211761	-18.5061012780097	-18.8603847462094	-8.85930484157944	-4.66186485621884	-16.6251594906377	-16.5102583480109	-15.9352687967371	-3.71087579916892	-15.7054077565237	-15.1931011602215	-17.267844135824	-13.8489486854892	-2.82422885800512	-13.5313814605163	-15.358470435464	-17.5358219925248	-17.0093399685885	-11.2617006445119
HAA.11	-16.1697340503741	-17.5886564146429	-18.0082873190091	-14.1085227003403	-16.2975044957707	-15.8830346514434	-20.1754551841877	-18.6715782102685	-16.9968320068853	-17.1740079529419	-16.9367356323395	-16.9433609184696	-19.1487916673331	-2.02379064677603	-1.102822229967	-19.801910402897	-13.7581537375641	-12.4291182752581	-12.3376368318008	-15.6412934601797	-11.6587328022395	-5.81335860999057	-9.56944729406193	-6.11816707502829	-17.5688527799566	-12.4877030834985	-16.5919247643495	-10.2814959225202	-17.2515016424809	-7.01795492942739	-13.3574702208886	-10.358527157725	-14.8950198072885	-10.2941211285328	-18.435045662966	-13.1194408510654	-8.65567259002003	-18.1384051785848	-19.148194997379	-14.197947836165	-14.7988844677474	-12.5522844886558	-12.831497830016	-9.30657971235424	-11.981013670758	-7.6242736683081	-10.2714204348886	-7.07044448112859	-15.8304368510493	-13.010150959923	-20.2562148324527	-10.1560789047522	-13.7169441738854	-2.52396171107387	-9.96732198793461	-5.34948913996001	-17.4123150495371	-8.61232393933805	-16.6319413156073	-14.9116544625878	-16.646397484309	-14.3565802948835	-16.0671882684922	-15.530119254238	-13.6935822093001	-10.2583190558044	-19.3606822811218	-18.3219625338111	-10.5959627542702	-11.1107058458377	-10.6538585747024	-21.4202284746235	-15.0009069019555	-13.8284643638854	-13.1154199612874	-17.2935870946005	-14.6293239116972	-12.2361705234363	-12.9497700794387	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-16.2902536740837	-11.2104496104088	-16.1645594526234	-19.2767634545969	-16.5681033211761	-18.5061012780097	-18.8603847462094	-19.2314788979007	-7.15401366477913	-9.91901693386924	-16.5102583480109	-15.9352687967371	-11.7589382625501	-14.3762184835439	-15.1931011602215	-17.267844135824	-12.3111749516381	-15.852806839698	-13.5313814605163	-15.358470435464	-9.71316132410665	-18.2220406493637	-6.5609025543508
HAA.10	-16.1697340503741	-9.94553471714498	-18.0082873190091	-6.50186955675197	-16.2975044957707	-12.1995503981375	-10.6201636390098	-14.2679251402019	-7.59922194714573	-17.1740079529419	-12.1813951764758	-9.53587266920475	-19.1487916673331	-4.58239656228843	-4.73036360171725	-8.73357593363342	-13.7581537375641	-13.7712413277709	-9.63606184985819	-14.6412934601797	-11.6587328022395	-1.66135341637057	-8.2134177222004	-7.2985834266142	-14.3452672287351	-12.4877030834985	-15.2417412083983	-19.9426799327414	-17.2515016424809	-12.7644925249774	-13.3574702208886	-11.8157178483326	-11.1957753544461	-4.14779647250644	-13.4696580909723	-13.1194408510654	-6.23929041774669	-12.3365815008689	-12.5353259396425	-14.197947836165	-14.7988844677474	-7.93116111719106	-7.83637013740557	-6.36149702096888	-6.5248292446773	-4.22152566948791	-6.1502963087229	-7.24143716521358	-13.5175463700104	-11.1194439019984	-5.89878722359196	-6.39078991582677	-18.0997103467727	-7.59688637586423	-6.30804524716695	-5.54956790535476	-16.4123150495371	-3.6442596717603	-10.3525163094827	-5.78778225331285	-15.4995953751264	-12.9079262520893	-16.0671882684922	-15.530119254238	-13.6935822093001	-9.10189544346016	-18.3606822811218	-11.6057947789583	-4.53988161212069	-9.93579430032431	-6.70088841803785	-14.7663576771969	-15.0009069019555	-10.5187248820222	-8.43498877066598	-17.2935870946005	-12.3132175078034	-8.25928104579269	-7.01759201271499	-11.5454991511138	-16.376479927746	-15.1191711313416	-14.39488145372	-16.2902536740837	-12.2104496104088	-13.9748198804803	-19.2767634545969	-16.5681033211761	-13.9208513971404	-12.6066299135929	-8.31793279434699	-3.35227486082747	-8.87856760963377	-16.5102583480109	-13.0933103498565	-7.99596623209397	-15.7054077565237	-11.9203321619212	-17.267844135824	-9.66844820693255	-7.3824522343683	-13.5313814605163	-9.75115722690513	-7.75416139834651	-18.2220406493637	-4.81223850666899
HAA.05	-15.1697340503741	-17.5886564146429	-18.0082873190091	-1.89002156413704	-16.2975044957707	-15.8830346514434	-20.1754551841877	-18.6715782102685	-5.52831977794589	-17.1740079529419	-16.9367356323395	-12.1352063672459	-19.1487916673331	-5.54827784914369	-3.84635198130422	-9.6076236963346	-13.7581537375641	-13.7712413277709	-15.744292895633	-15.6412934601797	-11.6587328022395	-1.9183314979732	-10.3341316269883	-8.30771345492348	-17.5688527799566	-12.4877030834985	-16.5919247643495	-19.9426799327414	-17.2515016424809	-18.456907253507	-13.3574702208886	-15.0702802006937	-14.8950198072885	-9.55227611793964	-18.435045662966	-7.3069197575819	-3.34837934904952	-12.75033512895	-19.148194997379	-14.197947836165	-14.7988844677474	-9.40397908445073	-5.47695869210351	-5.27565059513972	-7.23285162477299	-4.05562023363435	-8.23010400167641	-7.32915756385269	-15.8304368510493	-10.7324823469938	-10.3790557963648	-7.71553082884665	-12.1032723688759	-11.1480576063517	-5.18714995870958	-9.34052706712513	-17.4123150495371	-9.90068019027357	-16.6319413156073	-14.9116544625878	-16.646397484309	-14.3565802948835	-12.3552652330301	-15.530119254238	-13.6935822093001	-15.0919943004246	-19.3606822811218	-18.3219625338111	-5.98139760843935	-9.54386092219121	-14.9342323805279	-21.4202284746235	-15.0009069019555	-13.8284643638854	-13.1154199612874	-17.2935870946005	-14.6293239116972	-13.1597843899665	-8.96805949392768	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-7.21139708680117	-12.2104496104088	-16.1645594526234	-19.2767634545969	-16.5681033211761	-18.5061012780097	-10.9413813574038	-11.4332677450314	-8.59688633234803	-16.6251594906377	-16.5102583480109	-14.9352687967371	-5.51196128992927	-15.7054077565237	-8.90469902256796	-16.267844135824	-20.4816290192877	-7.08609369898489	-13.5313814605163	-15.358470435464	-13.5518694385738	-18.2220406493637	-5.83015370363438
HAA.03	-16.1697340503741	-17.5886564146429	-18.0082873190091	-15.1651082921908	-16.2975044957707	-15.8830346514434	-20.1754551841877	-18.6715782102685	-11.6926850101398	-12.3998520570277	-16.9367356323395	-16.9433609184696	-19.1487916673331	-3.79659536853546	-1.35495511123026	-11.1706292609788	-10.0666624130386	-8.24997801741997	-9.07661376108225	-15.6412934601797	-8.66506936022733	-1.28213208409224	-10.9812858713573	-6.88241180818109	-17.5688527799566	-12.4877030834985	-16.5919247643495	-19.9426799327414	-17.2515016424809	-18.456907253507	-12.3574702208886	-15.0702802006937	-14.8950198072885	-15.8628387230739	-18.435045662966	-13.1194408510654	-6.52416156706771	-12.5476739497209	-19.148194997379	-14.197947836165	-14.7988844677474	-11.0245264109328	-11.9731872601243	-12.3381101995698	-16.6196510768844	-7.30535843642146	-10.5099374485972	-8.85118438099568	-15.8304368510493	-12.2967161898095	-11.0856455164062	-9.94796229967579	-18.0997103467727	-7.89825558150285	-10.637187530536	-7.36277521419831	-17.4123150495371	-10.2035889091529	-16.6319413156073	-14.9116544625878	-16.646397484309	-14.3565802948835	-13.9897384363881	-15.530119254238	-13.6935822093001	-16.0919943004246	-12.5135894228059	-18.3219625338111	-5.19551143136896	-10.3757837323272	-14.9342323805279	-21.4202284746235	-15.0009069019555	-13.8284643638854	-13.1154199612874	-17.2935870946005	-12.5215896006497	-9.04471986015797	-8.87124098318806	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-16.2902536740837	-5.59149171265843	-16.1645594526234	-19.2767634545969	-16.5681033211761	-18.5061012780097	-18.8603847462094	-19.2314788979007	-8.916709226624	-16.6251594906377	-16.5102583480109	-15.9352687967371	-7.65296678553876	-15.7054077565237	-11.3436151750615	-17.267844135824	-20.4816290192877	-15.852806839698	-6.83566468951229	-15.358470435464	-14.474672118778	-18.2220406493637	-8.23844044062727
HAA.02	-16.1697340503741	-17.5886564146429	-18.0082873190091	-11.0743774258465	-12.4350100035968	-15.8830346514434	-20.1754551841877	-18.6715782102685	-12.1787456479195	-17.1740079529419	-16.9367356323395	-9.38649557736336	-19.1487916673331	-0.746988372627669	-2.14023761604608	-19.801910402897	-13.7581537375641	-13.7712413277709	-15.744292895633	-15.6412934601797	-11.6587328022395	-15.4991558759334	-18.7370151726997	-13.8556011023309	-17.5688527799566	-12.4877030834985	-16.5919247643495	-19.9426799327414	-17.2515016424809	-12.8478877793572	-13.3574702208886	-14.0702802006937	-10.6983686469959	-5.13002426406771	-18.435045662966	-13.1194408510654	-15.8067854420157	-18.1384051785848	-19.148194997379	-14.197947836165	-14.7988844677474	-13.5522844886558	-14.3645481512784	-10.3776084110829	-16.6196510768844	-5.83533949704127	-17.8081910809468	-13.3561545828856	-15.8304368510493	-7.98897686512918	-20.2562148324527	-15.4705393115443	-18.0997103467727	-13.4999843884655	-13.6857770695629	-6.74699942673338	-17.4123150495371	-9.58543797947352	-16.6319413156073	-8.47460450407903	-16.646397484309	-14.3565802948835	-16.0671882684922	-15.530119254238	-13.6935822093001	-16.0919943004246	-19.3606822811218	-18.3219625338111	-5.64129528301879	-7.99001841481203	-11.2288022974715	-21.4202284746235	-15.0009069019555	-6.54899152132973	-13.1154199612874	-17.2935870946005	-14.6293239116972	-11.7850716711706	-9.99770444893309	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-16.2902536740837	-12.2104496104088	-16.1645594526234	-19.2767634545969	-9.9158243458481	-10.9337497884808	-11.6689985696231	-19.2314788979007	-7.06803953275016	-9.4517217307009	-16.5102583480109	-15.9352687967371	-12.9752836867579	-15.7054077565237	-15.1931011602215	-17.267844135824	-20.4816290192877	-4.03275959874791	-13.5313814605163	-15.358470435464	-12.6281183003715	-18.2220406493637	-9.5126410829516
HAA.026	-16.1697340503741	-17.5886564146429	-18.0082873190091	-11.1362653836305	-16.2975044957707	-15.8830346514434	-20.1754551841877	-14.6155184431805	-16.9968320068853	-17.1740079529419	-16.9367356323395	-16.9433609184696	-19.1487916673331	-11.4693116562138	-9.72686341902104	-19.801910402897	-13.7581537375641	-13.7712413277709	-15.744292895633	-15.6412934601797	-11.6587328022395	-2.31571937943371	-18.7370151726997	-13.8556011023309	-17.5688527799566	-12.4877030834985	-16.5919247643495	-19.9426799327414	-7.220714043332	-18.456907253507	-13.3574702208886	-9.66334696827111	-8.55005352579213	-15.8628387230739	-18.435045662966	-13.1194408510654	-15.8067854420157	-18.1384051785848	-19.148194997379	-14.197947836165	-14.7988844677474	-13.5522844886558	-14.3645481512784	-20.5284134112785	-16.6196510768844	-14.2253157507551	-17.8081910809468	-14.3561545828856	-15.8304368510493	-14.010150959923	-20.2562148324527	-15.4705393115443	-18.0997103467727	-13.4999843884655	-14.6857770695629	-17.5658881166971	-17.4123150495371	-10.4928217192475	-16.6319413156073	-14.9116544625878	-16.646397484309	-14.3565802948835	-16.0671882684922	-15.530119254238	-13.6935822093001	-16.0919943004246	-19.3606822811218	-18.3219625338111	-12.1074940561797	-13.7936804766594	-14.9342323805279	-21.4202284746235	-15.0009069019555	-13.8284643638854	-13.1154199612874	-17.2935870946005	-14.6293239116972	-17.8054780937914	-12.9497700794387	-19.1213938061521	-16.376479927746	-15.1191711313416	-14.39488145372	-10.1708936243601	-12.2104496104088	-16.1645594526234	-19.2767634545969	-8.48280452083525	-6.71085110103241	-10.7851984424925	-5.2338501083964	-0.806966614009411	-16.6251594906377	-6.8440768202943	-5.03832225602413	-13.9752836867579	-15.7054077565237	-15.1931011602215	-17.267844135824	-4.04219370159935	-10.0240367490758	-3.89894125897443	-15.358470435464	-17.5358219925248	-7.3541048212817	-13.7184183507648
