feature	p__Euryarchaeota	p__Actinobacteria	p__Bacteroidetes	p__Candidatus_Saccharibacteria	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
HAA.29	0	931254	20292210	0	9089006	6609	225870	0
HAA.28	0	0	40687	0	94453	0	24324776	0
HAA.16	0	135521	29474181	0	5201888	0	1684012	0
HAA.14	0	5956185	23563685	0	10603687	193	11139786	388
HAA.11	0	744	9796932	0	3316014	13575	22653	0
HAA.10	0	427077	8938914	7865	12000578	45770	373710	0
HAA.05	289	3109508	5224594	0	3529530	0	338938	0
HAA.03	0	9272	17410413	0	1776348	718	269367	0
HAA.02	0	25099	8108984	0	1167260	14076	604993	0
HAA.026	0	2105	704325	671	2298354	30152	565443	21173
HAA.01	0	1206862	14821347	17	4254314	8279	1164801	1052230
BB.138	0	8052	4482304	0	604385	0	13903	0
BB.134	0	91725	17270720	265	4483779	0	579676	0
BB.127	0	2661	21068506	0	2126523	0	3679598	0
BB.126	0	238522	3408167	0	2316302	461	3026628	0
BB.123	0	58094	3238681	0	1591630	59921	725350	0
BB.122	0	38138	29226044	0	1326176	0	216913	192
BB.121	2209	1879	104608	0	652545	0	110339	0
BB.120	0	129135	5558167	0	1601970	0	517459	0
BB.118	0	66091	3699383	0	1780905	59156	237700	0
BB.065	0	2189142	204853	0	2227759	0	143682	0
BB.060	0	243945	7007073	0	2045333	0	5095579	0
BB.056	0	154971	25624897	0	8303731	4936614	794405	0
BB.055	0	93489	3126320	0	4328840	0	4884	0
BB.054	0	190129	13427126	0	1605085	243507	1469816	0
BB.053	0	698435	11810852	0	8647350	0	434398	0
BB.052	5152	41938	7802751	0	8279567	0	550021	0
BB.050	0	237913	4298568	0	7411892	1263	156719	0
BB.048	0	161649	7461825	9356	8192039	39846	198324	15544
BB.047	0	5714550	6321392	751	11829686	567	241880	0
BB.046	0	556803	3077172	9	4714629	19867	1557658	0
BB.044	0	0	0	0	106466	0	21177743	0
BB.042	0	4358967	84763	1062	5604708	31594	20180778	0
BB.041	9830	0	5365430	0	5311380	0	0	0
BB.040	0	2272	3905683	0	684606	13539	3016589	0
BB.036	0	15617	1243645	0	1104935	162	79555	0
BB.035	0	8503	6738371	227	335574	1979	4348	0
BB.033	0	0	0	0	3047249	0	0	0
BB.032	0	0	0	0	1968851	0	8403768	0
BB.031	7008	146805	890645	0	4924597	0	28370	0
BB.030	0	54725	2543433	0	753562	0	156202	0
BB.028	884	57735	9708827	0	5437520	378	2328775	1642121
BB.027	0	0	334066	0	517942	3902	4197546	0
BB.026	0	784	20832141	0	1158906	588	1475330	142173
BB.024	0	5272469	2958011	5767	789455	94150	2627121	0
BB.020	0	782294	8001546	222	6563932	28920	468817	0
BB.019	0	11154	12265666	0	518061	6747428	1795975	0
BB.013	0	4967110	78690	0	7938145	2448	4844	0
BB.012	0	466265	2926450	951	9228236	113805	1215533	0
BB.008	0	29741	2796520	0	1441958	414	219899	0
BB.006	0	104423	27344142	0	1618938	5648	5797340	0
BB.004	0	625120	9026900	106	2829265	42658	664307	0
BB.001	0	16156	5977002	0	1229061	637	632077	0
