feature	p__Euryarchaeota	p__Actinobacteria	p__Bacteroidetes	p__Candidatus_Saccharibacteria	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
HAA.29	0	0.0304879867371853	0.664339298782263	0	0.297561668870359	0.000216369652475111	0.00739467595771726	0
HAA.28	0	0	0.00166341536087041	0	0.00386154228820737	0	0.994475042350922	0
HAA.16	0	0.00371335154301606	0.807609119586519	0	0.142534653901585	0	0.0461428749688798	0
HAA.14	0	0.1161866773991	0.459654337034364	0	0.206845012488705	3.76483079992082e-06	0.217302639571641	7.56867539051439e-06
HAA.11	0	5.65782995757084e-05	0.745018486046833	0	0.252169937485542	0.00103232582895194	0.00172267233909748	0
HAA.10	0	0.0195961588175488	0.410156431745119	0.00036088056509721	0.550638953608792	0.00210012758607747	0.0171474476773653	0
HAA.05	2.36829746209474e-05	0.254817989784197	0.428145076493959	0	0.289237956449386	0	0.0277752942978363	0
HAA.03	0	0.00047631479476288	0.89439573930457	0	0.0912533253933835	3.68846012337951e-05	0.0138377359060497	0
HAA.02	0	0.00253003605092208	0.817403954593821	0	0.11766245192236	0.00141889268308615	0.0609846647498108	0
HAA.026	0	0.000581134844541598	0.194445510395136	0.000185245358996395	0.634514771729957	0.00832416999174264	0.156103862186287	0.00584530549333931
HAA.01	0	0.0536196038271092	0.658496791119543	7.55292042554042e-07	0.189014677101545	0.000367827224723819	0.0517508780269995	0.0467494674080376
BB.138	0	0.00157615210611661	0.877396036991421	0	0.118306345088834	0	0.00272146581362882	0
BB.134	0	0.00409008851937012	0.77011472982563	1.1816554457706e-05	0.199935165018183	0	0.0258482000823592	0
BB.127	0	9.9005524664542e-05	0.783877673967701	0	0.0791197013627268	0	0.136903619144908	0
BB.126	0	0.0265316882608386	0.379103078059372	0	0.257650877411547	5.12787427920552e-05	0.33666307752545	0
BB.123	0	0.0102392170437649	0.570825863161731	0	0.28052888462436	0.0105612304967714	0.127844804673372	0
BB.122	0	0.00123794679230808	0.948667665364071	0	0.0430472317697825	0	0.00704092381771261	6.23225612573161e-06
BB.121	0.0025344776153652	0.00215585488423323	0.120021111085615	0	0.748692030565181	0	0.126596525849606	0
BB.120	0	0.0165414947690653	0.711971118256797	0	0.205203688970454	0	0.0662836980036843	0
BB.118	0	0.0113106866316347	0.633105291846041	0	0.304780656605459	0.0101238440692527	0.0406795208476127	0
BB.065	0	0.459379162788043	0.0429872523731302	0	0.467482723511553	0	0.0301508613272741	0
