feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Haemophilus_parainfluenzae	Antibiotics	Yes	-5.13292591971829	1.22261117802999	53	28	0.000112911773674609	0.0711344174150037
s__Collinsella_aerofaciens	Antibiotics	Yes	-4.43846923746742	1.2669745580252	53	29	0.000991765079890105	0.146642962092113
s__Enterococcus_faecalis	Antibiotics	Yes	4.98223363165343	1.33144666288739	53	15	0.000479478680576445	0.146642962092113
s__Lacticaseibacillus_paracasei	Antibiotics	Yes	3.06554575913241	0.873953409343805	53	7	0.000978556682940853	0.146642962092113
s__Anaerostipes_hadrus	Antibiotics	Yes	-6.54227352273712	1.89652589752035	53	33	0.00116383303247709	0.146642962092113
s__Lacticaseibacillus_rhamnosus	Antibiotics	Yes	2.87603526103741	0.877317366413509	53	9	0.00192533955725879	0.173280560153291
s__Ruminococcus_gnavus	Antibiotics	Yes	-3.79382342886402	1.14947789982414	53	33	0.00180481067143819	0.173280560153291
s__Bifidobacterium_longum	Antibiotics	Yes	-3.65264112913295	1.24464354735832	53	32	0.00506941991317675	0.192823598610042
s__Lancefieldella_parvula	Age	Age	-1.49774153040705	0.506285609645839	53	16	0.00475193617262068	0.192823598610042
s__Bacteroides_uniformis	Antibiotics	Yes	-3.30971870018769	1.09740426099772	53	42	0.00405274650049168	0.192823598610042
s__Enterococcus_faecium	Antibiotics	Yes	3.44291901982794	1.15880259063174	53	14	0.00458754575847933	0.192823598610042
s__Blautia_wexlerae	Antibiotics	Yes	-2.66961780323398	0.885002372418482	53	35	0.00404648627799305	0.192823598610042
s__Fusicatenibacter_saccharivorans	Antibiotics	Yes	-3.21587407740045	1.06776092897688	53	25	0.00409977955611935	0.192823598610042
s__Erysipelatoclostridium_ramosum	Antibiotics	Yes	-3.95224195328101	1.29327010351166	53	37	0.00362500597894188	0.192823598610042
s__Fusobacterium_nucleatum	Antibiotics	Yes	-2.5991019772997	0.888535148463454	53	23	0.0052031764704297	0.192823598610042
s__Sutterella_wadsworthensis	Antibiotics	Yes	-3.54315059372869	1.15172770821261	53	33	0.00342404903653049	0.192823598610042
s__Akkermansia_muciniphila	Age	Age	1.57256201353721	0.524880301333787	53	6	0.0042825539402659	0.192823598610042
s__Eggerthellaceae_bacterium	Response	PNR	1.83272157493438	0.655243639977619	53	8	0.00735002512759165	0.194312171625067
s__Bacteroides_caccae	Antibiotics	Yes	-3.50206840250344	1.25019327819922	53	26	0.00726800966469412	0.194312171625067
s__Bacteroides_finegoldii	Age	Age	-0.834986435904211	0.291533726001375	53	13	0.00614031615539488	0.194312171625067
s__Streptococcus_parasanguinis	Antibiotics	Yes	-3.88581232310495	1.35401870613785	53	30	0.00604624720375317	0.194312171625067
s__Blautia_massiliensis	Antibiotics	Yes	-2.25029686212882	0.792856672650441	53	28	0.00658350385889227	0.194312171625067
s__Faecalibacterium_prausnitzii	Antibiotics	Yes	-4.46852013457852	1.58604534141577	53	38	0.00696096736187722	0.194312171625067
s__Colibacter_massiliensis	Response	PNR	-2.02461154950171	0.724539852953334	53	7	0.00740236844285969	0.194312171625067
s__Lancefieldella_parvula	Response	PNR	2.79893795321314	1.01752859868314	53	16	0.00830897232876979	0.209386102684999
s__Lachnospiraceae_bacterium	Antibiotics	Yes	-3.11609015956289	1.18822231313577	53	37	0.0115997773524654	0.281071528155893
s__Dorea_longicatena	Antibiotics	Yes	-2.05765604769953	0.805600859224924	53	28	0.0138033203528845	0.322077474900637
s__Parabacteroides_merdae	Age	Age	-0.880589961576188	0.347804688979132	53	21	0.0146028191334463	0.328563430502541
s__Coprococcus_comes	Antibiotics	Yes	-2.97858966819734	1.18763897633331	53	23	0.0155031239231572	0.336792002468587
s__Bifidobacterium_dentium	Antibiotics	Yes	-2.69019908777809	1.08352198113972	53	22	0.0165069508585269	0.343699975431781
s__Sellimonas_intestinalis	Age	Age	-1.0309170481467	0.416858888969131	53	12	0.0169122210133099	0.343699975431781
s__Butyricimonas_faecihominis	Antibiotics	Yes	-1.79165848416027	0.74096091812374	53	15	0.0193685427801955	0.380099307323022
s__Anaerobutyricum_hallii	Antibiotics	Yes	-2.65928906207649	1.10493377525497	53	30	0.0199099637169202	0.380099307323022
s__Bifidobacterium_bifidum	Response	PNR	-1.95594652245846	0.828795317581833	53	12	0.0223021809713574	0.395801893173031
s__Prevotella_copri_clade_A	Antibiotics	Yes	-3.39898474962295	1.43092042026187	53	15	0.0214873689182435	0.395801893173031
s__Streptococcus_mitis	Antibiotics	Yes	-2.25649297595838	0.958509340886505	53	20	0.0226172510384589	0.395801893173031
s__Bifidobacterium_bifidum	Antibiotics	Yes	-1.8556859603514	0.815779225597709	53	12	0.0273347202261115	0.397506002217524
s__Barnesiella_intestinihominis	Age	Age	-1.85034258003211	0.815128418843997	53	19	0.0276420612842619	0.397506002217524
s__Parabacteroides_merdae	Antibiotics	Yes	-1.56057787751219	0.688037051935697	53	21	0.0277623239643985	0.397506002217524
s__Streptococcus_gordonii	Antibiotics	Yes	-1.38380506291688	0.598919579028631	53	13	0.0251118390618001	0.397506002217524
s__Coprococcus_catus	Antibiotics	Yes	-1.66047799964455	0.729639744436084	53	14	0.0272696081365649	0.397506002217524
s__Eubacterium_rectale	Antibiotics	Yes	-2.22337198162255	0.953605003343603	53	18	0.0238806357727473	0.397506002217524
s__Ruminococcus_torques	Antibiotics	Yes	-3.63209520898853	1.56927564180354	53	32	0.0248733982439291	0.397506002217524
s__Agathobaculum_butyriciproducens	Age	Age	-1.08681556499685	0.477901199631888	53	23	0.0273733086944771	0.397506002217524
s__Lachnospiraceae_bacterium_WCA3_601_WT_6H	Age	Age	-1.54596987855947	0.686804207946623	53	13	0.028908014633336	0.404712204866704
s__Firmicutes_bacterium_AF16_15	Antibiotics	Yes	-1.97918290120432	0.884395269073593	53	18	0.0298063915017917	0.408217970568017
s__Eggerthella_lenta	Antibiotics	Yes	-1.96931393697702	0.90486869903571	53	22	0.0343780037227633	0.42495960379609
s__Streptococcus_salivarius	Antibiotics	Yes	-2.21660365074535	1.0205277452512	53	20	0.0347222800898034	0.42495960379609
s__Clostridium_sp_AF34_10BH	Antibiotics	Yes	-1.59131159082619	0.736961541680466	53	15	0.0357505698431631	0.42495960379609
s__Clostridiales_bacterium	Age	Age	-0.780737183949269	0.361195664191829	53	14	0.035567045018343	0.42495960379609
s__Blautia_faecis	Antibiotics	Yes	-2.4849255483035	1.14739737481027	53	27	0.0352287592549623	0.42495960379609
s__Roseburia_inulinivorans	Antibiotics	Yes	-4.02998919445339	1.8598900923606	53	25	0.0351414045500093	0.42495960379609
s__Veillonella_rogosae	Response	PNR	-1.10784557060788	0.511520414859697	53	8	0.0352220234177564	0.42495960379609
s__Bacteroides_faecis	Antibiotics	Yes	-1.04060337972527	0.498655637962287	53	11	0.0421294657664753	0.428089732788378
s__Bacteroides_xylanisolvens	Age	Age	-1.48979954459389	0.713372322192856	53	23	0.0419811654478297	0.428089732788378
s__Parabacteroides_merdae	Response	PNR	1.46498347155049	0.699014965169414	53	21	0.0412899384883414	0.428089732788378
s__Enterococcus_faecium	Age	Age	-1.22602621243375	0.585778009322313	53	14	0.0415500868780455	0.428089732788378
s__Streptococcus_sp_263_SSPC	Age	Age	-0.943430136853553	0.444880208085903	53	18	0.0390382700492829	0.428089732788378
s__Coprococcus_catus	Age	Age	-0.772964862537341	0.368834968504171	53	14	0.0412982653658393	0.428089732788378
s__Dorea_formicigenerans	Antibiotics	Yes	-2.37932038954794	1.1323964830849	53	25	0.040795516361602	0.428089732788378
s__Lachnospira_pectinoschiza	Age	Age	-0.83094206026	0.394891457361201	53	8	0.040512389207934	0.428089732788378
s__Fusobacterium_pseudoperiodonticum	Antibiotics	Yes	-1.53572674999088	0.727030964589208	53	11	0.0397789985894331	0.428089732788378
s__Eisenbergiella_massiliensis	Antibiotics	Yes	1.241627019541	0.60112323131727	53	6	0.0441846118761588	0.437710081409275
s__Lachnospira_eligens	Antibiotics	Yes	-1.88311294958941	0.919121960171064	53	11	0.045855341861924	0.437710081409275
s__Gemmiger_formicilis	Age	Age	-0.695119079197363	0.338199270670456	53	19	0.0451947794395696	0.437710081409275
s__Gemmiger_formicilis	Antibiotics	Yes	-1.3734839650858	0.669035342340842	53	19	0.0454385494986614	0.437710081409275
s__Methanobrevibacter_smithii	Antibiotics	Yes	1.12263158279841	0.559453005028029	53	6	0.0503205113230841	0.440304474076986
s__Alistipes_onderdonkii	Antibiotics	Yes	-2.95467563105765	1.46631994129818	53	24	0.0494053855510867	0.440304474076986
s__Clostridiales_bacterium_KLE1615	Antibiotics	Yes	-1.38956886321574	0.687024447647872	53	17	0.0485908563608554	0.440304474076986
s__Agathobaculum_butyriciproducens	Antibiotics	Yes	-1.91306844630568	0.945397641062241	53	23	0.0484872816745203	0.440304474076986
s__Flavonifractor_plautii	Antibiotics	Yes	-1.48756335359198	0.739238177098288	53	28	0.0497029271609691	0.440304474076986
s__Phascolarctobacterium_faecium	Age	Age	0.478956069065846	0.237300230856804	53	9	0.0490455982659718	0.440304474076986
s__Aggregatibacter_segnis	Antibiotics	Yes	-1.13648836716966	0.577805988126879	53	12	0.054870540525018	0.473540281243306
s__Bifidobacterium_breve	Response	PNR	1.72019458606563	0.896743388638921	53	10	0.0609135821841901	0.474563229785023
s__Isoptericola_variabilis	Response	PNR	0.872408834556587	0.453740750938721	53	8	0.0603399233593406	0.474563229785023
s__Bacteroides_salyersiae	Antibiotics	Yes	-1.35088051520604	0.700324620617497	53	10	0.0595416604503145	0.474563229785023
s__Phocaeicola_massiliensis	Antibiotics	Yes	-2.53966641218327	1.32447710809679	53	13	0.0610152724009315	0.474563229785023
s__Blautia_obeum	Antibiotics	Yes	-1.51911152664007	0.787091623232498	53	23	0.0594021231089485	0.474563229785023
s__Agathobaculum_butyriciproducens	Response	PNR	1.85959744535674	0.960481848003921	53	23	0.0586338454675358	0.474563229785023
s__Colibacter_massiliensis	Age	Age	0.699372602127944	0.360504954494566	53	7	0.0581488642945334	0.474563229785023
s__Unknown	Antibiotics	Yes	-2.73659132231316	1.42457851950541	53	36	0.0605618807886558	0.474563229785023
