feature	s__Methanobrevibacter_smithii	s__Actinomyces_sp_ICM58	s__Trueperella_pyogenes	s__Bifidobacterium_adolescentis	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_catenulatum	s__Bifidobacterium_dentium	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Rothia_mucilaginosa	s__Isoptericola_variabilis	s__Lancefieldella_parvula	s__Collinsella_aerofaciens	s__Collinsella_bouchesdurhonensis	s__Collinsella_tanakaei	s__Senegalimassilia_anaerobia	s__Adlercreutzia_equolifaciens	s__Eggerthellaceae_bacterium	s__Eggerthella_lenta	s__Slackia_isoflavoniconvertens	s__Bacteroidaceae_bacterium	s__Bacteroides_caccae	s__Bacteroides_cellulosilyticus	s__Bacteroides_clarus	s__Bacteroides_eggerthii	s__Bacteroides_faecis	s__Bacteroides_finegoldii	s__Bacteroides_fragilis	s__Bacteroides_intestinalis	s__Bacteroides_nordii	s__Bacteroides_ovatus	s__Bacteroides_salyersiae	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_xylanisolvens	s__Phocaeicola_dorei	s__Phocaeicola_massiliensis	s__Phocaeicola_vulgatus	s__Barnesiella_intestinihominis	s__Coprobacter_fastidiosus	s__Coprobacter_secundus	s__Butyricimonas_faecihominis	s__Butyricimonas_paravirosa	s__Odoribacter_splanchnicus	s__Paraprevotella_clara	s__Prevotella_copri_clade_A	s__Prevotella_histicola	s__Prevotella_marseillensis	s__Alistipes_communis	s__Alistipes_finegoldii	s__Alistipes_ihumii	s__Alistipes_indistinctus	s__Alistipes_inops	s__Alistipes_onderdonkii	s__Alistipes_putredinis	s__Alistipes_senegalensis	s__Alistipes_shahii	s__Parabacteroides_distasonis	s__Parabacteroides_merdae	s__Gemella_morbillorum	s__Granulicatella_adiacens	s__Enterococcus_faecalis	s__Enterococcus_faecium	s__Lacticaseibacillus_paracasei	s__Lacticaseibacillus_rhamnosus	s__Lactobacillus_delbrueckii	s__Lactobacillus_gasseri	s__Ligilactobacillus_salivarius	s__Limosilactobacillus_fermentum	s__Limosilactobacillus_oris	s__Lactococcus_lactis	s__Streptococcus_anginosus	s__Streptococcus_constellatus	s__Streptococcus_cristatus	s__Streptococcus_gordonii	s__Streptococcus_infantis	s__Streptococcus_mitis	s__Streptococcus_mutans	s__Streptococcus_oralis	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sp_263_SSPC	s__Streptococcus_thermophilus	s__Candidatus_Avimicrobium_caecorum	s__Clostridia_bacterium	s__Clostridia_bacterium_UC5_1_1D1	s__Clostridiaceae_bacterium	s__Clostridiaceae_bacterium_OM08_6BH	s__Clostridium_disporicum	s__Clostridium_fessum	s__Clostridium_paraputrificum	s__Clostridium_phoceensis	s__Clostridium_sp_AF20_17LB	s__Clostridium_sp_AF34_10BH	s__Clostridium_sp_AM22_11AC	s__Clostridium_sp_AM33_3	s__Clostridium_sp_AM49_4BH	s__Clostridium_sp_AT4	s__Hungatella_hathewayi	s__Mogibacterium_diversum	s__Clostridiales_bacterium	s__Clostridiales_bacterium_KLE1615	s__Evtepia_gabavorous	s__Intestinimonas_butyriciproducens	s__Eubacteriaceae_bacterium	s__Eubacterium_ramulus	s__Eubacterium_sp_AM28_29	s__Eubacterium_ventriosum	s__Anaerobutyricum_hallii	s__Anaerostipes_caccae	s__Anaerostipes_hadrus	s__Anaerotignum_faecicola	s__Anaerotignum_lactatifermentans	s__Blautia_faecis	s__Blautia_glucerasea	s__Blautia_massiliensis	s__Blautia_obeum	s__Blautia_producta	s__Blautia_sp_OF03_15BH	s__Blautia_wexlerae	s__Coprococcus_catus	s__Coprococcus_comes	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Dorea_sp_AF24_7LB	s__Dorea_sp_AF36_15AT	s__Eisenbergiella_massiliensis	s__Eisenbergiella_tayi	s__Enterocloster_aldensis	s__Enterocloster_asparagiformis	s__Enterocloster_bolteae	s__Enterocloster_citroniae	s__Enterocloster_clostridioformis	s__Enterocloster_lavalensis	s__Faecalicatena_contorta	s__Faecalicatena_fissicatena	s__Fusicatenibacter_saccharivorans	s__Clostridium_symbiosum	s__Eubacterium_rectale	s__Lachnospiraceae_bacterium	s__Lachnospiraceae_bacterium_WCA3_601_WT_6H	s__Lachnospira_eligens	s__Lachnospira_pectinoschiza	s__Lacrimispora_amygdalina	s__Lacrimispora_celerecrescens	s__Mediterraneibacter_glycyrrhizinilyticus	s__Ruminococcus_gnavus	s__Ruminococcus_lactaris	s__Ruminococcus_torques	s__Roseburia_faecis	s__Roseburia_hominis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Sellimonas_intestinalis	s__Tyzzerella_nexilis	s__Dysosmobacter_welbionis	s__Oscillibacter_sp_ER4	s__Intestinibacter_bartlettii	s__Romboutsia_timonensis	s__Agathobaculum_butyriciproducens	s__Anaerotruncus_colihominis	s__Anaerotruncus_rubiinfantis	s__Candidatus_Cibiobacter_qucibialis	s__Faecalibacterium_prausnitzii	s__Flavonifractor_plautii	s__Gemmiger_formicilis	s__Ruminococcaceae_bacterium	s__Ruminococcus_bromii	s__Ruminococcus_sp_NSJ_71	s__Ruthenibacterium_lactatiformans	s__Catenibacterium_sp_AM22_15	s__Coprobacillus_cateniformis	s__Dielma_fastidiosa	s__Clostridium_innocuum	s__Erysipelatoclostridium_ramosum	s__Faecalibacillus_intestinalis	s__Turicibacter_sanguinis	s__Firmicutes_bacterium_AF16_15	s__Acidaminococcus_intestini	s__Phascolarctobacterium_faecium	s__Phascolarctobacterium_succinatutens	s__Megamonas_funiformis	s__Allisonella_histaminiformans	s__Anaeroglobus_geminatus	s__Colibacter_massiliensis	s__Dialister_invisus	s__Dialister_pneumosintes	s__Megasphaera_micronuciformis	s__Veillonella_atypica	s__Veillonella_dispar	s__Veillonella_parvula	s__Veillonella_rogosae	s__Fusobacterium_nucleatum	s__Fusobacterium_pseudoperiodonticum	s__Parasutterella_excrementihominis	s__Sutterella_wadsworthensis	s__Bilophila_wadsworthia	s__Desulfovibrionaceae_bacterium	s__Desulfovibrio_piger	s__Campylobacter_concisus	s__Campylobacter_gracilis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Aggregatibacter_segnis	s__Aggregatibacter_sp_oral_taxon_458	s__Haemophilus_parainfluenzae	s__Akkermansia_muciniphila	s__Unknown
HAA.29	0	0	0	0	0	6.51690036904248e-05	0	0.000285212932985866	0.02284406795038	0	7.90305558866744e-05	0.000120713754315681	0	0.00670501674209442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0608962294968509	0	0	0.0622070659032389	0	0	0.000507917491968265	0.00421768930486976	0	0	0	0.538152723494454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000562279740510429	0	1.5044054279342e-05	0	0	0	0	0	0	0.00257857718130329	0	0.0380153725927748	0.000217744619689428	0	0.000710683751938523	4.82526544461865e-05	5.19315498158072e-05	0.000119399863112245	0	0.000405893840021461	0.000134279680991157	0.000233872634211605	0.0130809694322883	0.000178065105345662	0.000119005695751214	0.000870420074996253	0	0	0	0	0	0	0	0	0	0	0	0.0242358072076195	0	0	0.000609185656473094	0	0	0	0	0	0	0	0	0	0	0	0	0.0206826183788875	0	0	0.00104697420545796	0	0.0282481353173923	0.000615689417930102	0	0	0.0117578152958681	0	0	0	0.00218480398763352	0	0	0	0	0	0	0	0	0	0	0	0	0.00835184797648108	0	0.0108458762588433	0.000583761861686607	0	0	0.00150072653256458	0	0.00361237962744681	0	0.00895535105349932	0.0116168019224593	0	0	0	0	0	0.000400112718726343	0	0	0	0	0	0	0	0	0	0.012207855880325	0	0.0530144260983991	0	0	0	0	0	0	0	0	0.00187863448995285	0	0	0.00118263347221273	0	0	0	0	0	0	4.76614034046403e-05	3.13363052019482e-05	0.000643379675042515	0.00112199739317416	0.0134094093858672	0.0137503641531589	0.00841839656593512	0	0.000199153059160809	1.79346149269012e-05	0	0	0	0	0	0.000167159808357143	0.000126199250090026	0.000538695393408753	0	0	0	0.0045742465302022	0	0
HAA.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130264184727686	7.89641839261231e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000870085830902783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000381132698262891	0	0	0	0	0	0	0	0	9.0309376411084e-05	0.00023339856133916	0.000896475735161279	0	0	0	0.0311053937552525	0	0.012957319673612	0	0	0	0	0.611501229987399	0.341755426013005	0	0	0	0	0
HAA.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90279664606844e-05	8.04480740916492e-06	0.000612432359787066	0	0	0	0	0	0	0	0	0.346748059197344	0.000305759736919963	0	0.097439934030297	0	0	0.0609302016818954	0.0168104523843397	3.18939527781787e-05	0.000481176477199946	0	0.187371552311489	0.00199745150771245	0	0	0	0	0.0681898986488347	0	0	0	0	0.000373541518495055	0.0070701590221645	0.00479904142411121	0.0064417511583025	0	0	0.00019815330590092	0	0.00451955568585735	0.035693269979429	0	0	0	0.000316771423657331	0.00544174165858311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000671342031063398	2.50758358604822e-05	0.00569044602380687	0	0	0	0	8.24450121010164e-06	0	0	0	0	0	1.18104619411145e-05	0.00564423117273294	0	0.00115756790865846	0	0	0	0	0	0	0	0.000524937947290935	0.0010275957719345	0	0	0	0	0	0	0	0.000106180046726638	0	0	0	0	0.000124979791700537	0.000443034961221033	0	0	0.0183198522425628	0.0107961315430993	0.000108262567793549	0.000811013580975708	0.00191828717948396	0.000139557439168918	0.00016477591345864	0	0.000125493290045803	0	0	0.00212397179444878	0	0.000672540193869018	0	0	0	0	0	0	0	0	0.031399197122515	0	2.11104875275959e-06	0	0.000824450121010164	0.00290477455611135	0	0.000850267676702697	0	0.000251471550751024	0	0	0.00112136627531722	0	0	0	0.00384518972009405	0	0.000156046441589121	0	0	0.0186771044524386	0	7.79661654228643e-05	0	0.00526538350467014	0.00122343833528173	0	0	0	0	0	0	0	0	0.00203000159726513	4.07945907627867e-05	0.0010374378235521	0	0	0	0	0	0	0	0	0	0	0.00581134635643113	0.0247991458354414	0	0	0	0.00220473367308476	0	0	0	0	0	0.00106257071478428
HAA.14	0	0.000183401580131628	0	0	0	0	0	0.0575095793919807	0.00623074511533081	0	2.66617189005261e-05	3.55349738925973e-05	3.35211855256024e-05	0.0412732848213114	0.000159613705046501	0.019407444870708	0	0	0	1.82499570758912e-05	0	0	0.0293851788742273	0	0.000441019652371881	0	0	0	0.0449577204083501	0.000142811158359388	0	0.0476369819227882	0.000239284207315737	0	0.119137943349406	0.000658215118537142	5.24633823526481e-05	0.250584916368523	0	0	0	0	0	0	0	3.9122034421307e-05	0	0	3.11088348776398e-05	0	0	0	0	0	0	2.98292401861118e-05	0	0	0	0.000132910032221663	0	0	0	0	0.056423287406722	0	0	0	0	0	0	0	0.00379873905382783	0.000436404720697518	6.14624991176565e-06	0	0	0	8.93618587853982e-06	0	6.37280110305258e-05	0.00231761868686524	0	6.60774307920198e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00232682757325181	0	0	0	0	0	0	0	0	0	0.000578313869684189	0.000134923820588658	0	0	4.84148286565021e-05	0.00378042616586547	0	0	0	0.000129197109920016	0	0.00125414963643254	0	0	0	0.00296305883544926	0	0	0	0	0	0	0.00322053006895442	0.000178891533268046	0	4.37579430578265e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0608928067794185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50824357903055e-05	0	0	0	0	0	0	0	0	0	0.00221709708421275	0.0327692453401514	0	0	0	0	0	0	0	0	0	0	0	0	0.00231195490708307	0.0177769475562311	0.0100316657732229	0.0146078739754458	0	0	0	0	0.011193097236925	0	0	0	7.27690817198466e-05	0	0.151606651752746	0	0	0	0	0	0.000437306730070234
HAA.11	0	0	0	0	0	0	0	0	0	5.9755983549756e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000466160925433849	0.139375530695781	0	0.00208390960911555	0	0	0.0516184072845757	0	0	0	0.0647667315950767	0.0012555181920024	0.413163472131062	0	0.0282278752667735	0	0	0	0.000191395845160038	0	0.000203925325581761	0	0.0177817422338907	0	0.000988704512765452	0	0	0.000519411217226172	0	9.41317375273038e-05	0.00016143753620297	0	0	0.000614265809393191	0.00755246559292232	0.00764314369161543	0	0	0	0.00084806912674983	0	0	0.001437035023753	0.00240132311313253	0	1.80713659928698e-05	2.97173574104969e-06	0	2.4898326479065e-06	0	0	0	0	0	0	0	0.000166336884316592	0.000671853229023802	0	0	0	0.0019367685313425	0	0.00320690445050357	0.000965974750205532	0	0.00189283503268427	0	0.000585030355075837	0	0	8.73850942232991e-05	0	5.20455340594649e-05	0	0	0	0.000256372445552179	0	0	0	0	0.000175733994632885	0	0	0.00014481187948953	0	0.00166690279918231	0.00026111115930142	0	0.00363941247659959	0	0	0.000759961177886816	0	0	0.000950393216860568	0.000673861158578566	0.000180151439653364	2.47376921146839e-05	0.00782859606529337	0	0	0	0	0	0	0.000127945271229518	0	0	0	0	0	0.000925093304470551	7.83895698179595e-05	0.00128411110886223	0.000188183157872417	0	0.183519299736977	0	0	0.00105440396779731	0	0.00926514918595323	0.012841833943262	0.00378189515780559	0.000951116071500283	0	0	0.00174601522363998	0	0	0	0	0	0	0.000861803364904411	0	0	0	0.00068197319397981	0.000477325013758333	0.000655147255128172	0	0	0	0	0	0	0	0	0.00021878400428701	0	0	0.00221338090680669	0	0	0	0.000445439092428692	0	0	0	0	0	0	0.00279977665397976	0.00206728395240211	0.00254428769743168	0	0.000938104687985417	7.95140103686269e-05	0	0.000304562754866498	0	0	0	0.000141197606290956	2.03202470942047e-05	0	0	0	0	0.00125752612155716	0	0.00092501298728836
HAA.10	0	0	0	0	0	0.00118248607310834	0	0.00504384383146658	0.00490698700469023	0	0	0.000214512069348286	0.000608923889431674	0.00367677433798672	0	0.00148556633528143	0	0.000217228597737413	0	0.00135924776518703	0	0	0.00662692416857838	0	0	0.000234417665303094	0	0	0	0	0.000230015015844854	0.0254566343712033	0	0	0.00202812262596495	0.00753953719723589	0	0.00320934410827145	0.00291609955233486	0.0318848304371082	0.00237035836629856	0	0	0	0	0.00126805671736583	0	0.31893167369061	0	0	0	2.8148854514917e-05	0	0	0	0.00159258818647375	0.00154664138734042	1.75169244402312e-05	0.000214465232651922	0.00388285580198944	0.00252613721840607	4.84759807370035e-05	2.60412031785256e-05	0	0	0	0	0	0.000145006411943732	0	0.000279896097472786	0	0.000430148219409314	0.00307454809613513	1.48472327474687e-05	0	0.000436799030293038	3.93428249459739e-06	0	0.000502510915292088	0.00072887266882053	0.00672448500710513	0.0449260870094676	9.61089009394505e-05	0	8.89428863957195e-05	0.00373560122862022	0.000351884099784645	0.00333758298291678	0.00269114289969734	0	0.00116150323313715	5.40963843007141e-05	2.29499812184848e-06	0	0.00794134921534483	0.00348095011048777	0.000631686523864702	0	8.388452318838e-05	0.00019507484035712	0.00016997037110588	3.99985386950734e-05	0.00160471889083209	0	0	0	0.00186199286396094	0	0.00227195446723726	0.00441468648920555	0	0.0122710271006492	0.0109575387878101	0	0.00477472017415757	0	0.0153700239522865	0.00504070577281017	0	0.00384224838624163	0.0193788704674958	0.00157071544927164	0.0126348545580068	0.00392107454622267	0.00212708856538262	2.83830379967383e-05	0.000591406964991443	8.60390112211357e-05	0	0	0	0.000115218273056066	0.000338301457839011	0	0	0.000202943405346315	0.0167081015307169	0.0120243850575951	0	0	0.00624454937946061	0.00139123722880382	0.000786856498919477	0.00442499056240568	0.00995481195534777	0.0027793832356476	0.000112454907970575	0.0197259303875549	0	0.00167080546940205	0	0	0	0.0806702143902939	0.000771728245993823	0.0182635950536702	2.17790638093784e-05	0	0	0	0.0018311274810569	0	2.99754856731229e-06	0.000323735245269728	0.0433752303194544	0.00103017313653178	0.00969870889962802	1.57371299783895e-05	0	0	0.000687750049412715	0.00291539700188939	0	0.00019825973570989	0.00167230424368571	0.0016206902042923	0.00778711597421734	0	0.013237549166822	0	0	0	0	0	0	6.50561712499497e-05	0.000161773949242135	0	0.00316180486146174	0.0418086364994628	0.0256757832734916	0.0313133290680715	0	0.00162940182981605	0.00051431376277588	0.000115452456537888	0.00395236145939399	0.000260318358392527	0	0	0.000885213561284412	0.00033080758642073	0.00604703903089255	0	0.00117082373571364	0	0.00467355291001078	0	0.00227855844142462
HAA.05	2.84798032863525e-05	0	0	0.176955660789578	0.0528638363852054	0	0	0	0.0534036715492284	0	0	0	0	0.0227453111305181	0	0	0	0	0	0.000233357004090252	0	0	0.00103591588977902	0	0	0	0	0	0.000943775349734941	0	0	0.0140087126517929	0.000833699431842706	0	0.00335076218457632	0.00225995615489938	0	0.0652367834496275	0.00769871166830352	4.63166351023726e-05	0.00134554752273999	0	0	0	0	0	0	0.277719668467497	0	0	0	0	0	0	0	0.00062310656117511	3.57722096641729e-05	0	0.00015432308631982	0.00250080265743172	0.000812117850805643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139817110389886	0	0.000130474946543705	0	0.000340772179114903	0.000262329537537268	0	0.0356699188828191	0	0	0.000605072637294825	0	0.0631752004574113	0.0016429594477165	0	0	0.000152352165677166	0	0	0.000641633215216059	0	0	0	6.9770590749957e-05	0	0.00147976721850474	0.0235696486893082	0	0.027098976284109	0.00697873435754195	0	0.0131865431057097	0	0.00139698855151326	0.00115939406804131	0	0.000812610580966307	0.00756271814396038	0	0.00349601903593994	0.00362560706819445	0.00278589632839164	0	0.000116579956012993	0	0	6.58287494646487e-05	0	0.000135008064021809	0.00033958962672931	0	7.65702669671138e-05	0	0.000788269711029528	0.00499431290848562	0.000238579943793285	0.00070243611704194	0.0133406690999653	0	0	0	0.0278768986617646	0.00093648294335712	0	9.03667114656929e-05	0.000467798014533963	0.00106104512797286	0	0	0	0.00109819698208689	0	0	0	0	0.000200344083325795	0	3.00565398004758e-05	0	0	0	0.0151981632596347	0.00140635042456587	0	0	0	0	0	0	0	0	0.000114707581402472	0	0.00209617264949482	0	0.000865234162125173	0	0	0.00708329169763476	0	0	0	0	0	0.000533823856062877	0.00037959931577519	0.00223325018019142	0.000307759258350446	0.000170188997493186	0	0	0	3.35056509251206e-05	0.0230046842870914	0.00219028411018156	0	1.33037143379155e-05	0	0	0.00772600891920428	0	0	0	8.74103305017116e-05	0	0.00191938106784875
HAA.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000305127473502598	0	0	0.000186897210726287	0	0	0	0	0	0.0112196698648094	0.0013868176334812	0.00180216245697769	0	0.00168149117441336	0.00559418056637284	0	0	0	0.00941687062006095	0	0	0.0322940550077441	0.00798531864568189	0.00130382296068849	0.000261825905089012	0.038948858672012	0.355518506299662	0.00043816305194973	0.000941809112995496	0	0.00157403323809288	0	0.00187067020798497	0.00248819514870666	0.415307730608844	0	0	0	8.64970055320407e-06	0	0	0	0.000418051171522341	7.29121997552294e-05	0	0	0.00787722392159062	0.000683644737588516	0	0	0	0	0	0	0	0	0.000192469103720682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69279415734485e-05	8.60724803515153e-05	0.000139509587450144	0.00196523319194699	0	0	2.67450863730972e-05	0.00182805849298974	0.000704870996614783	3.10434038259164e-05	0	0	0.000168695693611262	0	0	0	0	0	0	0.000461299674288362	0	2.35611475191571e-05	0.000251212775575878	0	0.0001950693204514	0	0	5.11552842533051e-05	0	0.000242138549842148	0.000183076484101559	0	0	0.00404604336429201	0.000531611657312873	0.000161054240361806	0.000267769257616366	0.00191927834115512	0	0	0	0	0	0	0	0.000200747344740926	0	0	0	0.00046474894138013	0.00102257502859044	0	0	0.00319227016060796	0	0	0.00423368349408421	0.000181962105502679	0.000452225448554632	0	0.0054277666956069	0	0.000708638657591946	0	0	0	0.000856532617357466	0	0	0	0	6.20868076518329e-05	0	0	0.000172728682826253	0	0	0.0275629341333793	0.00076016540137821	0	0	0	0	0	0	0	0.000171773501170071	0	0.00191248593826672	0.00215685324530662	0	0	0	0	0	0.0209470806544247	0	0	0	0	0	0	0.000265328237828346	0	0.00182460922589797	0	0	0	0	0.0050183121589902	0.000388652802770961	0	0	0	0	0	0.00884280644469554	0	0	4.43628813648994e-05	0	4.9085723998244e-05
HAA.02	0	0	0	0	0	0	0	6.08114773019636e-05	0.000404020065753681	0	0.000181010751835276	0	0	0.000216195987866178	0	0	0	0	0	0.00149760974285287	0	0	0	0	0	0	0	0	0.25645267738291	0	0	2.09484353247567e-05	0	0	0.142439292756417	0.115215479063259	0.083112408693804	0	0	0.227373401792006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000135961446743688	0	5.82691914615805e-05	0	0.0006032335842061	0.00545554203059488	0	0	0	0	0.000139927412654685	5.64387456565046e-05	0.000540489969665445	0.00115816373744492	0.000204908238734877	0	0.0210681261421219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000753431831655933	0	0	0	0	0.000831937618406963	0	0	0	0.0158746429359537	0	0	9.55899475984043e-05	0	0	0	0	0	0.00394542424140733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60651923442621e-05	0	0	0.00933181609714379	0	0	0	0	0	0.0013047010932846	0	0.002817767934047	0	0	0	0	0	0	0	0	0.0200824310760886	0.0039425768812661	0	0	0	0	0.0107046504509507	0	0	0	0	0.000284024174087599	0.000980407111485335	0	0	0	0	0	0	0	0.00103765938861076	0.000512423133987616	0.000307819969553585	0	0	0	0.00284847874699883	0.00437700268567076	0.000244567897844853	0.0014314086195693	0	0	0.000124470314745156	0	0	0	0	0	0.0612398016203513	0	0	0	0.000158333562139059	0	0.000297650826192052
HAA.026	0	0	0	7.0362905630225e-05	0	0.000541436595866477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162510484868	0	0	0	0	0	0	0	0.0012848187061971	0.00259309171427095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00923224926754998	0	0	0	0	0.00169825046809221	0	0.00367397725330249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102165348852926	0	0	0	0	0	0	0	0	0	0	0	0	0.000955663418842153	0	0	0	0	0	0	0	0	0	0	0	0.00031206147412275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119457927355269	0	0	0	0.00384928822156762	0.0131459374366436	0	0.000780352450577016	0.036594276355281	0.00827340560438556	0.13991286130557	0.638158559031298	0.000769619125989354	0	0	0.0419056819040123	0	0	0	0	0.0834555739744706	0.00013118507829364	0.00132258410752406	0	0	0	0	0.00841691412942799	0
