metadata;PR (n = 31);PNR (n = 22);pvalue.unadjusted;pvalue
g__GGB3746; 3.225806;27.272727;0.0326716927419264;1
g__Colibacter;22.58065; 0.00000;0.047620170187145;1
g__GGB3277; 0.00000;18.18182;0.0522058220978677;1
g__GGB9634; 0.00000;13.63636;0.130117906763119;1
g__Massilioclostridium;16.12903; 0.00000;0.132957206005181;1
g__GGB3537;16.12903; 0.00000;0.132957206005181;1
g__Lancefieldella;22.58065;45.45455;0.144486972035729;1
g__Klebsiella;29.032258; 9.090909;0.155559580444047;1
g__Faecalibacillus;45.16129;22.72727;0.165301985497986;1
g__Gemmiger;32.25806;54.54545;0.180353202910322;1
g__Akkermansia; 6.451613;22.727273;0.189274851472064;1
g__GGB58233;12.90323; 0.00000;0.22072748529065;1
g__Limosilactobacillus;19.35484;36.36364;0.285630101334053;1
g__Campylobacter;32.25806;50.00000;0.309518862101814;1
g__Escherichia;83.87097;68.18182;0.311673352645607;1
g__Sellimonas;29.03226;13.63636;0.323847970927964;1
g__GGB9730;29.03226;13.63636;0.323847970927964;1
g__Lawsonibacter;0.000000;9.090909;0.327144107635974;1
g__GGB6601;0.000000;9.090909;0.327144107635974;1
g__GGB9818;0.000000;9.090909;0.327144107635974;1
g__Mailhella;0.000000;9.090909;0.327144107635974;1
g__Isoptericola; 9.677419;22.727273;0.35847297150307;1
g__GGB3571; 9.677419;22.727273;0.35847297150307;1
g__GGB9615;22.580645; 9.090909;0.358843754747721;1
g__GGB3005;9.677419;0.000000;0.368611288843205;1
g__GGB9522;9.677419;0.000000;0.368611288843205;1
g__Fournierella;9.677419;0.000000;0.368611288843205;1
g__Neobittarella;9.677419;0.000000;0.368611288843205;1
g__GGB9614; 6.451613;18.181818;0.374472548271778;1
g__Candidatus_Nanoperiomorbus; 3.225806;13.636364;0.37556915499545;1
g__GGB9237; 3.225806;13.636364;0.37556915499545;1
g__Stomatobaculum; 3.225806;13.636364;0.37556915499545;1
g__GGB1495;16.129032; 4.545455;0.383466852795982;1
g__Massilimaliae;16.129032; 4.545455;0.383466852795982;1
g__Actinomyces;25.80645;40.90909;0.388661079483832;1
g__Prevotella;61.29032;45.45455;0.389133670830363;1
g__Anaerotignum;38.70968;54.54545;0.389133670830363;1
g__Barnesiella;41.93548;27.27273;0.42015532732621;1
g__Alistipes;58.06452;72.72727;0.42015532732621;1
g__Veillonella;74.19355;86.36364;0.46369303316508;1
g__Fusobacterium;45.16129;59.09091;0.471080590422355;1
g__Lacticaseibacillus;16.12903;27.27273;0.520878048742122;1
g__Holdemania;16.12903;27.27273;0.520878048742122;1
g__Senegalimassilia;19.354839; 9.090909;0.522743581635432;1
g__Fusicatenibacter;41.93548;54.54545;0.530710192495207;1
g__Anaerobutyricum;51.61290;63.63636;0.55586228306828;1
g__Enterocloster;61.29032;72.72727;0.567333866047976;1
g__Candidatus_Nanosynsacchari;12.903226; 4.545455;0.583120278637364;1
g__Hydrogeniiclostidium;12.903226; 4.545455;0.583120278637364;1
g__Faecalicoccus;12.903226; 4.545455;0.583120278637364;1
g__GGB6606;12.903226; 4.545455;0.583120278637364;1
g__Dorea;61.29032;50.00000;0.592003081781065;1
g__Agathobaculum;38.70968;50.00000;0.592003081781065;1
g__Phascolarctobacterium;38.70968;50.00000;0.592003081781065;1
g__Trueperella; 9.677419;18.181818;0.62458693107246;1
g__Staphylococcus; 9.677419;18.181818;0.62458693107246;1
g__Granulicatella; 9.677419;18.181818;0.62458693107246;1
g__GGB4482; 9.677419;18.181818;0.62458693107246;1
g__GGB9633; 9.677419;18.181818;0.62458693107246;1
g__Neisseria; 9.677419;18.181818;0.62458693107246;1
g__Actinobaculum;6.451613;0.000000;0.62906684958893;1
g__Cryptobacterium;6.451613;0.000000;0.62906684958893;1
g__GGB1843;6.451613;0.000000;0.62906684958893;1
g__GGB2980;6.451613;0.000000;0.62906684958893;1
g__GGB9347;6.451613;0.000000;0.62906684958893;1
g__GGB9580;6.451613;0.000000;0.62906684958893;1
g__Emergencia;6.451613;0.000000;0.62906684958893;1
g__Massilistercora;6.451613;0.000000;0.62906684958893;1
g__GGB3463;6.451613;0.000000;0.62906684958893;1
g__GGB3523;6.451613;0.000000;0.62906684958893;1
g__GGB3678;6.451613;0.000000;0.62906684958893;1
g__GGB4456;6.451613;0.000000;0.62906684958893;1
g__GGB9512;6.451613;0.000000;0.62906684958893;1
g__GGB9642;6.451613;0.000000;0.62906684958893;1
g__GGB9739;6.451613;0.000000;0.62906684958893;1
g__Longicatena;6.451613;0.000000;0.62906684958893;1
g__Mitsuokella;6.451613;0.000000;0.62906684958893;1
g__Peptoniphilus;6.451613;0.000000;0.62906684958893;1
g__Lautropia;6.451613;0.000000;0.62906684958893;1
g__Citrobacter;6.451613;0.000000;0.62906684958893;1
g__Proteus;6.451613;0.000000;0.62906684958893;1
g__Pseudomonas;6.451613;0.000000;0.62906684958893;1
g__Lactococcus;22.58065;13.63636;0.642791142478076;1
g__Streptococcus;77.41935;86.36364;0.642791142478076;1
g__Clostridium;77.41935;86.36364;0.642791142478076;1
g__Parasutterella;22.58065;13.63636;0.642791142478076;1
g__Candidatus_Cibiobacter;22.58065;31.81818;0.663232916836573;1
g__Kytococcus; 6.451613;13.636364;0.685568241857399;1
g__Leuconostoc; 6.451613;13.636364;0.685568241857399;1
g__GGB2982; 6.451613;13.636364;0.685568241857399;1
g__GGB9619; 6.451613;13.636364;0.685568241857399;1
g__Parvimonas; 6.451613;13.636364;0.685568241857399;1
g__Collinsella;54.83871;63.63636;0.72064215011425;1
g__Faecalicatena;32.25806;40.90909;0.721494844834398;1
g__Evtepia;19.35484;27.27273;0.729630093497882;1
g__Anaeroglobus;19.35484;27.27273;0.729630093497882;1
g__Dielma;16.129032; 9.090909;0.738373868592483;1
g__Lachnospira;35.48387;27.27273;0.739569302715417;1
g__Paraprevotella;25.80645;18.18182;0.748603121923813;1
g__Anaerostipes;74.19355;81.81818;0.748603121923813;1
g__Alloscardovia;3.225806;9.090909;0.758630477025992;1
