metadata;PR (n = 31);PNR (n = 22);pvalue.unadjusted;pvalue
s__Phascolarctobacterium_faecium; 3.225806;36.363636;0.00519418388746315;1
s__Sutterella_SGB9281; 3.225806;31.818182;0.0132982933931282;1
s__Bifidobacterium_bifidum;35.483871; 4.545455;0.0204069621595131;1
s__GGB3746_SGB5089; 3.225806;27.272727;0.0326716927419264;1
s__Gemmiger_SGB15299; 3.225806;27.272727;0.0326716927419264;1
s__Colibacter_massiliensis;22.58065; 0.00000;0.047620170187145;1
s__Lactobacillus_vaginalis; 0.00000;18.18182;0.0522058220978677;1
s__GGB3277_SGB4327; 0.00000;18.18182;0.0522058220978677;1
s__Limosilactobacillus_oris; 3.225806;22.727273;0.0770687029519757;1
s__Clostridium_paraputrificum;19.35484; 0.00000;0.0798851497113123;1
s__Actinomyces_sp_ICM58; 6.451613;27.272727;0.0897006209947068;1
s__Eggerthellaceae_bacterium; 6.451613;27.272727;0.0897006209947068;1
s__Megasphaera_micronuciformis;25.80645;50.00000;0.128743578698591;1
s__Rothia_dentocariosa; 0.00000;13.63636;0.130117906763119;1
s__Slackia_piriformis; 0.00000;13.63636;0.130117906763119;1
s__Blautia_sp_AF19_10LB; 0.00000;13.63636;0.130117906763119;1
s__Stomatobaculum_longum; 0.00000;13.63636;0.130117906763119;1
s__GGB9634_SGB15093; 0.00000;13.63636;0.130117906763119;1
s__Ruminococcus_sp_AF41_9; 0.00000;13.63636;0.130117906763119;1
s__Leptotrichia_wadei; 0.00000;13.63636;0.130117906763119;1
s__Massilioclostridium_coli;16.12903; 0.00000;0.132957206005181;1
s__GGB3537_SGB4727;16.12903; 0.00000;0.132957206005181;1
s__Phascolarctobacterium_succinatutens;35.48387;13.63636;0.143890554190711;1
s__Veillonella_parvula;64.51613;86.36364;0.143890554190711;1
s__Alistipes_onderdonkii;35.48387;59.09091;0.155250813420376;1
s__GGB9730_SGB15291;29.032258; 9.090909;0.155559580444047;1
s__Veillonella_rogosae;22.580645; 4.545455;0.15624264455551;1
s__Enterocloster_asparagiformis;12.90323;31.81818;0.183723153225133;1
s__Clostridium_sp_AM49_4BH; 6.451613;22.727273;0.189274851472064;1
s__Lacticaseibacillus_rhamnosus; 9.677419;27.272727;0.190258625743251;1
